0,1,2,3,4,5,6,7,8,9
22_1,4,Philips Electronics,842,LCD Monitors,5:04,4.863041961,47.71357324,1,-1
25_1,4,Philips Electronics,788,LCD,16:11,5.013591612,60.24100679,1,-1
27_1,4,Philips Electronics,123,LCD Monitors,16:09,4.92230881,58.83372504,1,-1
28_1,4,Philips Electronics,669,LCD/LED,16:09,4.730472416,54.29735559,1,-1
32_1,4,Philips Electronics,507,LCD Monitor,16:09,5.131492181,64.36903567,1,1
33_1,4,Philips Electronics,334,LCD Monitor,16:09,0.931607581,65.49638026,1,1
39_1,4,Philips Electronics,676,Brilliance LCD Monitor,16:09,4.847046476,64.91696373,1,1
40_1,4,Philips Electronics,707,LCD,16:09,4.609994372,67.90901729,1,1
41_1,4,Philips Electronics,296,LCD,16:10,5.174877692,62.03439559,1,1
62_1,4,Philips Electronics,764,Monitor,16:09,12.96252115,58.93265372,1,1
88_1,4,iiyama North America,93,LCD,16:08,2.036730135,55.44950694,1,1
103_1,4,Hannspree,739,LCD,16:09,4.642050635,52.860863,1,1
128_1,4,Asus,268,LCD Monitor,16:11,6.075317464,60.43602424,1,1
132_1,4,Asus,67,LCD Monitor,21:09,4.739240001,67.24904697,1,1
133_1,4,Asus,40,LCD Monitor,16:09,8.044867768,72.74631545,1,1
168_1,4,Asus,297,Monitor,16:10,2.063362287,62.70473492,1,1
171_1,4,Asus,86,LCD Monitor,16:09,2.035098753,66.98184245,1,1
186_1,4,Asus,387,LCD Monitor,16:09,4.653314653,55.07602491,1,1
190_1,4,Asus,337,Monitor,16:08,5.321621336,72.40973798,1,1
193_1,4,iiyama North America,815,Monitors,16:08,5.459439278,61.09235491,1,-1
