0,1,2,3,4,5,6,7,8,9
22_1,2,Philips Electronics,295,TFT LCD 16.7 Million Colours,5:04,5.400235618,51.34841766,1,-1
25_1,2,,,,,,,,
27_1,2,Philips Electronics,125,TFT Brilliance LCD 16.7 Million Colour,16:09,4.941355792,50.57930786,1,1
28_1,2,Philips Electronics,322,TFT LCD 16.7 Million Colour,16:09,4.956908763,63.26740814,1,1
32_1,2,Philips Electronics,318,LCD with LED light 16.7 Million,16:09,5.440694411,65.6823886,1,-1
33_1,2,Philips Electronics,230,TFT LCD 16.7 Billion Colour,16:09,5.17804823,56.21933905,1,-1
39_1,2,Philips Electronics,111,Monitors,16:08,4.550148483,63.66514511,1,-1
40_1,2,Philips Electronics,14,TFT LCD Million Colour,16:09,5.057868627,66.30829899,1,1
41_1,2,Philips Electronics,124,TFT LCD 16.7 Million,16:08,4.894831309,70.21406467,1,-1
62_1,2,Philips Electronics,245,IPS TFT LCD 16.7 Million Colour,16:11,15.10743823,60.88332386,1,1
88_1,2,iiyama North America,328,TFT Brilliance LCD 16,16:08,1.863241398,58.31340379,1,-1
103_1,2,Hannspree,402,LED,16:09,4.709833331,53.4889547,1,1
128_1,2,Asus,193,IPS,16:11,5.560469812,26.02481999,1,1
132_1,2,Asus,533,AH-IPS 16.7 Million Colour,21:09,5.452523055,81.05588904,1,1
133_1,2,Asus,452,Widescreen 1.7 Colour,16:09,7.481648931,81.26593594,1,-1
168_1,2,Asus,379,Widescreen 167 Million Colour,16:09,1.914709505,69.82179407,1,-1
171_1,2,Asus,345,16.7 million Colours,16:10,1.882792081,66.21457049,1,1
186_1,2,Asus,290,LED 16.7 million Coour,16:09,4.975943294,61.23157721,1,-1
190_1,2,Asus,398,Widescreen IPS 167 Million Colour,16:09,4.96169952,71.37463699,1,-1
193_1,2,iiyama North America,213,LED Backlight LCD IPS Panel 16.7 million Colour,16:10,5.44966093,60.24475778,1,1
