entity,brand,screen_type,supported_aspect_ratio,response_time(ms),screen_size_diagonal,day
22_2,Philips Electronics,TFT LCD 16.7 Million Colour,5:04,5.400235618,51.34841766,1
25_2,,,,,,
27_2,Philips Electronics,TFT Brilliance LCD 16.7 Million Colour,16:09,4.941355792,50.57930786,1
28_2,Philips Electronics,TFT LCD 16.7 Million Colour,16:09,4.956908763,63.26740814,1
32_2,Philips Electronics,LCD with LED Backlight 16.7 Million,16:09,5.440694411,65.6823886,1
33_2,Philips Electronics,TFT LCD 16.7 Million Colour,16:09,5.17804823,56.21933905,1
39_2,Philips Electronics,Monitor,16:08,4.550148483,63.66514511,1
40_2,Philips Electronics,TFT LCD Million Colour,16:09,5.057868627,66.30829899,1
41_2,Philips Electronics,TFT LCD 16.7 Million Colour,16:08,4.894831309,70.21406467,1
62_2,Philips Electronics,IPS TFT LCD 16.7 Million Colour,16:11,15.10743823,60.88332386,1
88_2,iiyama North America,TFT Brilliance LCD 16.7 million Colour,16:08,1.863241398,58.31340379,1
103_2,Hannspree,LED Backlight 16.7 Million Colour,16:09,4.709833331,53.4889547,1
128_2,Asus,IPS,16:11,5.560469812,26.02481999,1
132_2,Asus,AH-IPS 16.7 Million Colour,21:09,5.452523055,81.05588904,1
133_2,Asus,Widescreen 1.07 Colour,16:09,7.481648931,81.26593594,1
168_2,Asus,Widescreen 16.7 Million Colour,16:09,1.914709505,69.82179407,1
171_2,Asus,16.7 million Colours,16:10,1.882792081,66.21457049,1
186_2,Asus,LED 16.7 million Colour,16:09,4.975943294,61.23157721,1
190_2,Asus,Widescreen IPS 16.7 Million Colour,16:09,4.96169952,71.37463699,1
193_2,iiyama North America,LED Backlight LCD IPS Panel 16.7 million Colour,16:10,5.44966093,60.24475778,1
22_1,Philips Electronics,TFT LCD 16.7 Million Colour,5:04,2,0,1
25_1,,,,2,0,1
27_1,Philips Electronics,TFT LCD 16.7 Million Colour,16:09,2,0,1
28_1,Philips Electronics,TFT LCD 16.7 Million Colour,16:09,2,0,1
32_1,Philips Electronics,LCD with LED Backlight 16.7 Million Colour,16:09,2,0,1
33_1,Philips Electronics,TFT LCD 16.7 Million Colour,16:09,2,0,1
39_1,Philips Electronics,LCD Monitor,16:09,2,0,1
40_1,Philips Electronics,TFT LCD 16.7 Million Colour,16:09,2,0,1
41_1,Philips Electronics,TFT LCD 16.7 Million Colour,16:09,2,0,1
62_1,Philips Electronics,IPS TFT LCD 16.7 Million Colour,16:10,2,0,1
88_1,iiyama North America,TFT LCD 16.7 million Colour,16:09,2,0,1
103_1,Hannspree,LED Backlight 16.7 Million Colour,16:09,2,0,1
128_1,Asus,IPS,16:10,2,0,1
132_1,Asus,AH-IPS 16.7 Million Colour,21:09,2,0,1
133_1,Asus,Widescreen 1.07 Billion Colour,16:09,2,0,1
168_1,Asus,Widescreen 16.7 Million Colour,16:09,2,0,1
171_1,Asus,16.7 million Colours,16:09,2,0,1
186_1,Asus,LED 16.7 million Colour,16:10,2,0,1
190_1,Asus,Widescreen IPS 16.7 Million Colour,16:09,2,0,1
193_1,iiyama North America,LED Backlight LCD IPS Panel 16.7 million Colour,16:09,2,0,1
22_3,Philips Electronics,TFT LCD 16.7 Million Colour,5:04,2,0,1
25_3,,,,2,0,1
27_3,Philips Electronics,TFT Brilliance LCD 16.7 Million,16:09,2,0,1
28_3,Philips Electronics,TFT LCD 16.9 Million Colour,16:09,2,0,1
32_3,Philips Electronics,LCD with LCD Backlight 16.7 Million,16:09,2,0,1
33_3,Philips Electronics,TFT LCD 16.7 Million Colour,16:09,2,0,1
39_3,Philips Electronics,Monitor,16:08,2,0,1
40_3,Philips Electronics,TFT LCD Million Colour,16:09,2,0,1
41_3,Philips Electronics,TFT LCD 17 Million Colour,16:08,2,0,1
62_3,Philips Electronics,IPS TFT LCD 16.7 Million Colour,16:11,2,0,1
88_3,iiyama North America,TFT Brilliance LCD 16.7 million Colour,16:08,2,0,1
103_3,Hannspree,LED Backlight 16.7 Million Colour,16:09,2,0,1
128_3,Asus,IPS,16:11,2,0,1
132_3,Asus,AH-IPS 16.7 Million Colour,21:09,2,0,1
133_3,Asus,Widescreen 1.07 Colour,16:09,2,0,1
168_3,Asus,Widescreen 16.7 Million Colour,16:09,2,0,1
171_3,Asus,16.7 million Colours,16:10,2,0,1
186_3,Asus,LED 16.7 million Colour,16:09,2,0,1
190_3,Asus,Widescreen IPS 16.7 Million Colour,16:09,2,0,1
193_3,iiyama North America,LED Backlight LCD IPS Panel 16.7 million Colour,16:10,2,0,1
22_4,Philips Electronics,TFT/LCD 16.7 Million Colour,5:04,2,0,1
25_4,,,,2,0,1
27_4,Philips Electronics,TFT Brilliance LCD 16.7 Million Colour,16:09,2,0,1
28_4,Philips Electronics,TFT LCD 16.7 Million Colour,16:09,2,0,1
32_4,Philips Electronics,LCD with LED Backlight 167 Million,16:09,2,0,1
33_4,Philips Electronics,TFT LCD 167 Million Colour,16:09,2,0,1
39_4,Philips Electronics,Monitor,16:08,2,0,1
40_4,Philips Electronics,TFT LCD Million Colour,16:09,2,0,1
41_4,Philips Electronics,TFT LCD 16.7 Billion Colour,16:08,2,0,1
62_4,Philips Electronics,IPS TFT LCD 16.7 Million Colour,16:11,2,0,1
88_4,iiyama North America,TFT Brilliance LCD 16.7 million Colour,16:08,2,0,1
103_4,Hannspree,LED Backlight 16.7 Million Colours,16:09,2,0,1
128_4,Asus,IP,16:11,2,0,1
132_4,Asus,AH-IPS 16.7 Million Colour,21:09,2,0,1
133_4,Asus,Widescreen 1.07 Colour,16:09,2,0,1
168_4,Asus,Widescreen 16.7 Million Colour,16:09,2,0,1
171_4,Asus,16.7 Billion Colours,16:10,2,0,1
186_4,Asus,LED 16.7 million Colour,16:09,2,0,1
190_4,Asus,Widescreen IPS 16.7 Million Colour,16:09,2,0,1
193_4,iiyama North America,LED Backlight LCD IPS Panel 16.7 million Colour,16:10,2,0,1
22_5,Philips Electronics,TFT LCD 16.7 Million Colour,5:04,2,0,1
25_5,,,,2,0,1
27_5,Philips Electronics,TFT Brilliance LCD 16.7 Million Colour,16:09,2,0,1
28_5,Philips Electronics,TFT LCD 16.7 Million Colour,16:09,2,0,1
32_5,Philips Electronics,LCD with LED Backlight 16.7 Million,16:09,2,0,1
33_5,Philips Electronics,TFT LCD 167 Billion Colour,16:09,2,0,1
39_5,Philips Electronics,Monitor,16:08,2,0,1
40_5,Philips Electronics,TFT LCD Million Colour,16:09,2,0,1
41_5,Philips Electronics,TFT LCD 16.7 Million Colour,16:08,2,0,1
62_5,Philips Electronics,IPS TFT LCD 16.7 Million Colour,16:11,2,0,1
88_5,iiyama North America,TFT Brilliance LCD 16.7 million CColour,16:08,2,0,1
103_5,Hannspree,LED Backlight 16.7 Million Colour,16:09,2,0,1
128_5,Asus,IPS,16:11,2,0,1
132_5,Asus,AH-IPS 16.7 Million Colour,21:09,2,0,1
133_5,Asus,Widescreen 1.07 Colour,16:09,2,0,1
168_5,Asus,Widescreen 16.7 billion Colour,16:09,2,0,1
171_5,Asus,16.7 million Colours,16:10,2,0,1
186_5,Asus,LED 136.7 million Colour,16:09,2,0,1
190_5,Asus,Widescreen IPS 16.7 Million Colour,16:09,2,0,1
193_5,iiyama North America,LED Backlight LCD IPS Panel 16.7 million Colour,16:10,2,0,1
