6_2,1,,1,1
13_2,1,17.4810534;17.45761761,1,1
18_2,1,,1,1
19_2,1,,1,1
23_2,1,,1,1
41_2,1,,1,1
44_2,1,,1,1
48_2,1,12.44340008;12.79755124,1,1
570_2,1,,1,1
58_2,1,10.67276466;9.197391018,1,1
65_2,1,14.77601053;15.92489001,1,1
67_2,1,,1,1
69_2,1,32.97253955;38.30139049,1,1
70_2,1,13.06127191;15.09644714,1,1
75_2,1,,1,1
76_2,1,24.42504462;24.82511135,1,1
83_2,1,10.48332467;10.21490255,1,1
88_2,1,,1,1
96_2,1,,1,1
101_2,1,,1,1
6_1,1,24,1,1
13_1,1,16.2,1,1
18_1,1,19,1,1
19_1,1,25,1,1
23_1,1,19;18,1,1
41_1,1,24.7,1,1
44_1,1,24.7;24.2,1,1
48_1,1,12.1,1,1
570_1,1,36.3,1,1
58_1,1,10.1,1,1
65_1,1,16,1,1
67_1,1,16,1,1
69_1,1,36;36.4,1,1
70_1,1,14.1,1,1
75_1,1,17,1,1
76_1,1,24;24.3,1,1
83_1,1,10.3;10.1,1,1
88_1,1,20,1,1
96_1,1,20.9,1,1
101_1,1,23.4;22.3,1,1
6_3,1,,1,1
13_3,1,17.4810534;17.45761761,1,1
18_3,1,,1,1
19_3,1,,1,1
23_3,1,,1,1
41_3,1,,1,1
44_3,1,,1,1
48_3,1,12.44340008;12.79755124,1,1
570_3,1,,1,1
58_3,1,10.67276466;9.197391018,1,1
65_3,1,14.77601053;15.92489001,1,1
67_3,1,,1,1
69_3,1,32.97253955;38.30139049,1,1
70_3,1,13.06127191;15.09644714,1,1
75_3,1,,1,1
76_3,1,24.42504462;24.82511135,1,1
83_3,1,10.48332467;10.21490255,1,1
88_3,1,,1,1
96_3,1,,1,1
101_3,1,,1,1
6_4,1,,1,1
13_4,1,17.4810534;17.45761761,1,1
18_4,1,,1,1
19_4,1,,1,1
23_4,1,,1,1
41_4,1,,1,1
44_4,1,,1,1
48_4,1,12.44340008;12.79755124,1,1
570_4,1,,1,1
58_4,1,10.67276466;9.197391018,1,1
65_4,1,14.77601053;15.92489001,1,1
67_4,1,,1,1
69_4,1,32.97253955;38.30139049,1,1
70_4,1,13.06127191;15.09644714,1,1
75_4,1,,1,1
76_4,1,24.42504462;24.82511135,1,1
83_4,1,10.48332467;10.21490255,1,1
88_4,1,,1,1
96_4,1,,1,1
101_4,1,,1,1
6_5,1,,1,1
13_5,1,17.4810534;17.45761761,1,1
18_5,1,,1,1
19_5,1,,1,1
23_5,1,,1,1
41_5,1,,1,1
44_5,1,,1,1
48_5,1,12.44340008;12.79755124,1,1
570_5,1,,1,1
58_5,1,10.67276466;9.197391018,1,1
65_5,1,14.77601053;15.92489001,1,1
67_5,1,,1,1
69_5,1,32.97253955;38.30139049,1,1
70_5,1,13.06127191;15.09644714,1,1
75_5,1,,1,1
76_5,1,24.42504462;24.82511135,1,1
83_5,1,10.48332467;10.21490255,1,1
88_5,1,,1,1
96_5,1,,1,1
101_5,1,,1,1
