5,0,1,1,97;87;90;89
10,0,1,1,93;80;95;97;92
13,0,1,1,
25,0,1,1,
31,0,1,1,
35,0,1,1,
38,0,1,1,
39,0,1,1,87;86;77;85;84
43,0,1,1,87;93;95;92
50,0,1,1,
91,0,1,1,52;63;69
104,0,1,1,
112,0,1,1,
130,0,1,1,
132,0,1,1,
145,0,1,1,
149,0,1,1,93;98;96;97;100
154,0,1,1,94;93;98;92;97
156,0,1,1,100;97;98;93;92
167,0,1,1,93;96;98;100;97;95
205,0,1,1,93;89;96;97;100
209,0,1,1,93;100;97;96
259,0,1,1,
273,0,1,1,87;86;89;93;90
275,0,1,1,93;96;97;89;100
1080,0,1,1,
1388,0,1,1,
1393,0,1,1,
1403,0,1,1,
1406,0,1,1,73;71;76;63;66
1411,0,1,1,
1416,0,1,1,
1472,0,1,1,63
3017,0,1,1,81;76;79;87
4934,0,1,1,
