5,1,76;97;87;90;89,1,1
10,1,93;80;95;97;92,1,1
13,1,74,1,1
25,1,80;86;82;93,1,1
31,1,85;86;89;80;93,1,1
35,1,,1,1
38,1,81;82;75;85;86;80;87,1,1
39,1,87;86;77;85;84,1,1
43,1,87;89;79;93;95;92,1,1
50,1,81;82;72;88;77;89;87,1,1
91,1,65;64;53;52;63;69,1,1
104,1,72,1,1
112,1,,1,1
130,1,93;85;78;88;87;84;86,1,1
132,1,86;85;78;88;89;82;92,1,1
145,1,81;82;68;70;80;85;93,1,1
149,1,93;98;96;97;100,1,1
154,1,94;93;98;92;97,1,1
156,1,100;97;98;93;92,1,1
167,1,93;96;98;100;97;95,1,1
205,1,93;89;96;97;100,1,1
209,1,93;100;97;96,1,1
259,1,77;80;75;76;78;81;87,1,1
273,1,87;86;89;93;90,1,1
275,1,93;96;97;89;100,1,1
1080,1,80;77;72;69;74;86,1,1
1388,1,42;48;58,1,1
1393,1,,1,1
1403,1,73;70;71;62;68,1,1
1406,1,73;71;76;63;66,1,1
1411,1,,1,1
1416,1,79;71;68;80;73;76,1,1
1472,1,61;58;51;60;50;63,1,1
3017,1,81;76;79;87,1,1
4934,1,94,1,1
