entity_id,website,brand,number,screen_type
ENTITY#022,www.makingbuyingeasy.co.uk,Philips_Electronics,134,LCD
ENTITY#025,www.makingbuyingeasy.co.uk,Philips_Electronics,311,LCD
ENTITY#027,www.makingbuyingeasy.co.uk,Philips_Electronics,634,LED
ENTITY#028,www.makingbuyingeasy.co.uk,Philips_Electronics,576,LED
ENTITY#032,www.makingbuyingeasy.co.uk,Philips_Electronics,304,LED
ENTITY#033,www.makingbuyingeasy.co.uk,Philips_Electronics,557,TN+Film
ENTITY#039,www.makingbuyingeasy.co.uk,Philips_Electronics,486,LED
ENTITY#040,www.makingbuyingeasy.co.uk,Philips_Electronics,405,TFT/LCD
ENTITY#041,www.makingbuyingeasy.co.uk,Philips_Electronics,47,TFT/LCD
ENTITY#062,www.makingbuyingeasy.co.uk,Philips_Electronics,232,IPS
ENTITY#088,www.makingbuyingeasy.co.uk,iiyama_North_America_Inc,296,TN+Film
ENTITY#103,www.makingbuyingeasy.co.uk,Hannspree_Inc,459,LED
ENTITY#132,www.makingbuyingeasy.co.uk,Asus,143,IPS
ENTITY#133,www.makingbuyingeasy.co.uk,Asus,48,IGZO
ENTITY#168,www.makingbuyingeasy.co.uk,Asus,220,LCD
ENTITY#186,www.makingbuyingeasy.co.uk,Asus,467,TN+Film
ENTITY#190,www.makingbuyingeasy.co.uk,Asus,680,IPS
ENTITY#193,www.makingbuyingeasy.co.uk,iiyama_North_America_Inc,362,IPS
