entity_id,website,brand,number,screen_type
ENTITY#022,www.jrlinton.co.uk,Philips_Electronics,410,Brilliance LCD Monitor
ENTITY#025,www.jrlinton.co.uk,Philips_Electronics,1540,Brilliance LCD monitor
ENTITY#027,www.jrlinton.co.uk,Philips_Electronics,772,Brilliance Monitor LED Backlight with PowerSensor
ENTITY#032,www.jrlinton.co.uk,Philips_Electronics,585,Brilliance LCD Monitor
ENTITY#033,www.jrlinton.co.uk,Philips_Electronics,619,Brilliance LCD Monitor with Game 242G5DJEB 144Hz 24\
ENTITY#039,www.jrlinton.co.uk,Philips_Electronics,1899,273E3LHSB Widescreen LCD Monitor
ENTITY#041,www.jrlinton.co.uk,Philips_Electronics,701,Brilliance LCD Monitor with SmartControl Lite
ENTITY#062,www.jrlinton.co.uk,Philips_Electronics,600,Brilliance Brilliance LCD Monitor With Clinical D-image
ENTITY#088,www.jrlinton.co.uk,iiyama_North_America_Inc,1710,ProLite E2483HS - A HD LED Monitor with 2 ms Response Time
ENTITY#103,www.jrlinton.co.uk,Hannspree_Inc,1801,HL205DPB Widescreen LCD
ENTITY#128,www.jrlinton.co.uk,Asus,927,PA249Q Widescreen LCD Monitor
ENTITY#132,www.jrlinton.co.uk,Asus,829,PB298Q Widescreen Brilliance LCD Monitor
ENTITY#133,www.jrlinton.co.uk,Asus,1059,PQ321QE Widescreen LCD Monitor
ENTITY#168,www.jrlinton.co.uk,Asus,646,VG278HE Widescreen LCD Monitor
ENTITY#171,www.jrlinton.co.uk,Asus,891,VK278Q Widescreen Monitor
ENTITY#186,www.jrlinton.co.uk,Asus,905,VW22ATL Widescreen LCD Monitor
ENTITY#190,www.jrlinton.co.uk,Asus,870,VX279Q Widescreen LCD Monitor
