entity_id,website,brand,number,screen_type
ENTITY#022,www.cleverboxes.com,Philips_Electronics,295,TFT LCD 16.7 Million Colour
ENTITY#027,www.cleverboxes.com,Philips_Electronics,125,TFT Brilliance LCD 16.7 Million Colour
ENTITY#028,www.cleverboxes.com,Philips_Electronics,322,TFT LCD 16.7 Million Colour
ENTITY#032,www.cleverboxes.com,Philips_Electronics,318,LCD with LED Backlight 16.7 Million
ENTITY#033,www.cleverboxes.com,Philips_Electronics,230,TFT LCD 16.7 Million Colour
ENTITY#039,www.cleverboxes.com,Philips_Electronics,111,Monitor
ENTITY#040,www.cleverboxes.com,Philips_Electronics,14,TFT LCD Million Colour
ENTITY#041,www.cleverboxes.com,Philips_Electronics,124,TFT LCD 16.7 Million Colour
ENTITY#062,www.cleverboxes.com,Philips_Electronics,245,IPS TFT LCD 16.7 Million Colour
ENTITY#088,www.cleverboxes.com,iiyama_North_America_Inc,328,TFT Brilliance LCD 16.7 million Colour
ENTITY#103,www.cleverboxes.com,Hannspree_Inc,402,LED Backlight 16.7 Million Colour
ENTITY#128,www.cleverboxes.com,Asus,193,IPS
ENTITY#132,www.cleverboxes.com,Asus,533,AH-IPS 16.7 Million Colour
ENTITY#133,www.cleverboxes.com,Asus,452,Widescreen 1.07 Colour
ENTITY#168,www.cleverboxes.com,Asus,379,Widescreen 16.7 Million Colour
ENTITY#171,www.cleverboxes.com,Asus,345,16.7 million Colours
ENTITY#186,www.cleverboxes.com,Asus,290,LED 16.7 million Colour
ENTITY#190,www.cleverboxes.com,Asus,398,Widescreen IPS 16.7 Million Colour
ENTITY#193,www.cleverboxes.com,iiyama_North_America_Inc,213,LED Backlight LCD IPS Panel 16.7 million Colour
