1,2010,Dallas,Cloudy,,1
2,2010,Dallas,Overcast,73.14782855,1
3,2010,Dallas,Overcast,79.74425276,1
4,2010,Dallas,Overcast,70.95604154,1
5,2010,Dallas,Cloudy,78.29494836,1
6,2010,Dallas,Overcast,82.84758674,1
7,2010,Dallas,Cloudy,79.50959367,1
14,2010,Dallas,Cloudy,72.36792679,1
8,2010,Dallas,Cloudy,72.08650516,1
9,2010,Dallas,WarningsCloudy,81.25508758,1
15,2010,Dallas,Cloudy,68.34245667,1
10,2010,Dallas,cloudy,79.02421451,1
11,2010,Dallas,Light,84.77534604,1
12,2010,Dallas,Cloudy,81.72339755,1
13,2010,Dallas,Overcast,73.76911539,1
1,2014,Dallas,Cloudy,,1
2,2014,Dallas,Overcast,72.29186828,1
3,2014,Dallas,Overcast,73.60934917,1
4,2014,Dallas,Overcast,70.00401046,1
5,2014,Dallas,Cloudy,68.45239648,1
6,2014,Dallas,Overcast,82.07040675,1
7,2014,Dallas,Cloudy,80.7302172,1
14,2014,Dallas,Cloudy,77.90379796,1
8,2014,Dallas,Cloudy,79.33844221,1
9,2014,Dallas,warningCloudy,75.16418386,1
15,2014,Dallas,Cloudy,78.37581572,1
10,2014,Dallas,mostly,76.87679449,1
11,2014,Dallas,Cloudy,67.3315517,1
12,2014,Dallas,Cloudy,73.30273691,1
13,2014,Dallas,Overcast,71.03417241,1
1,2024,Dallas,Cloudy,,1
2,2024,Dallas,Overcast,72.2178389,1
3,2024,Dallas,Overcast,72.48161768,1
4,2024,Dallas,Overcast,74.38957067,1
5,2024,Dallas,Cloudy,75.85300437,1
6,2024,Dallas,Overcast,69.68465312,1
7,2024,Dallas,Cloudy,80.16598831,1
14,2024,Dallas,Cloudy,75.15361753,1
8,2024,Dallas,Cloudy,69.6376321,1
9,2024,Dallas,warningCloudy,80.98847465,1
15,2024,Dallas,Cloudy,67.52156062,1
10,2024,Dallas,cloudy,86.62790151,1
11,2024,Dallas,Cloudy,76.40660292,1
12,2024,Dallas,Cloudy,74.42623104,1
13,2024,Dallas,Overcast,71.8040318,1
1,2026,Dallas,Cloudy,,1
2,2026,Dallas,Overcast,71.92301123,1
3,2026,Dallas,Overcast,81.20535478,1
4,2026,Dallas,Overcast,81.75547947,1
5,2026,Dallas,Cloudy,76.57939412,1
6,2026,Dallas,Overcast,70.92886253,1
7,2026,Dallas,Cloudy,67.42646267,1
14,2026,Dallas,Cloudy,65.7654627,1
8,2026,Dallas,Cloudy,70.34099821,1
9,2026,Dallas,warningCloudy,70.68776015,1
15,2026,Dallas,Cloudy,77.88815495,1
10,2026,Dallas,cloudy,70.14203686,1
11,2026,Dallas,Cloudy,71.23979671,1
12,2026,Dallas,Cloudy,80.45432699,1
13,2026,Dallas,Overcast,69.64661661,1
1,2047,Dallas,Cloudy,,1
2,2047,Dallas,Overcast,92.63583979,1
3,2047,Dallas,Overcast,89.48417036,1
4,2047,Dallas,Overcast,74.81349177,1
5,2047,Dallas,Cloudy,73.85615954,1
6,2047,Dallas,Overcast,77.46098294,1
