Symbol,Change_C$,Last_Trading_Price,Open_price,Change$,volume,Today's_high,Today's_low,Previous_close,52wkHigh,52wkLow,Shares_Outstanding,P/E,Marketcap,Yield,Dividend,EPS,attribute9,attribute10
1,1,1,1,1,119237,1,1,,,,17920000,,594960000,,,,1,1
2,,,,,,,,,,,,,,,,,1,2
3,11,7,7,5,70635,5,6,,,,19760000,,256320000,11,5,,1,3
4,14,10,9,8,668438,7,8,,,,123000000,,8730000000,19,10,,1,4
5,17,13,11,3,390774,10,10,,,,33630000,,109640000,,,,1,5
6,22,16,15,10,506801,12,12,,,,23120000,,961350000,26,14,,1,6
7,27,19,18,3,245609,14,15,,,,74690000,,1330000000,33,17,,1,7
8,11,22,21,12,923283,16,17,,,,125790000,,5370000000,,20,,1,8
9,33,26,24,14,581326,18,19,,,,58820000,,738530000,42,22,,1,9
10,34,28,28,15,156511,20,22,,,,22080000,,830480000,,,,1,10
11,37,30,31,16,41700,22,24,,,,18480000,,186240000,,24,,1,11
12,40,33,34,18,84143,24,26,,,,25220000,,169840000,48,22,,1,12
13,41,35,36,19,1485000,26,28,,,,144030000,,3880000000,31,28,,1,13
14,44,38,40,17,57138,28,30,,,,28430000,,232440000,,,,1,14
15,47,40,43,21,78206,30,32,,,,34670000,,455360000,,,,1,15
16,50,42,47,2,414923,32,35,,,,46870000,,12970000,,,,1,16
17,,,50,,61347,34,36,,,,28150000,,3350000000,,,,1,17
18,62,49,52,26,157250,36,38,,,,42970000,,887920000,,,,1,18
19,65,52,55,20,91161,38,40,,,,27730000,,1230000000,61,4,,1,19
20,,,57,,126845,40,42,,,,41500000,,2000000000,70,24,,1,20
21,70,59,59,31,100461,42,44,,,,19300000,,411390000,76,22,,1,21
22,73,62,62,6,79969,44,46,,,,44100000,,196730000,,39,,1,22
23,77,65,65,33,980566,46,49,,,,62620000,,2300000000,,,,1,23
24,,,,,,,,,,,,,,,,,1,24
25,81,72,75,35,2081000,53,55,,,,64740000,,1470000000,,,,1,25
26,85,74,77,36,82548,55,58,,,,52300000,,879170000,,,,1,26
27,87,77,79,38,2299000,57,60,,,,182400000,,9500000000,,,,1,27
28,90,84,82,42,122902,61,62,,,,15010000,,546760000,84,28,,1,28
29,91,86,85,38,11986000,63,64,,,,1660000000,,92540000000,84,41,,1,29
30,94,92,88,45,389494,65,66,,,,72420000,,930370000,93,43,,1,30
31,96,95,90,47,455378,67,69,,,,44550000,,332920000,97,45,,1,31
32,100,99,93,48,23886,69,71,,,,16550000,,326350000,101,46,,1,32
33,103,103,97,50,84966,72,74,,,,43590000,,427000000,,49,,1,33
34,90,105,99,51,53350,75,76,,,,17370000,,195660000,,,,1,34
35,105,108,101,52,875293,77,79,,,,183540000,,6400000000,112,45,,1,35
36,108,112,104,54,732890,79,81,,,,192690000,,49850000000,121,52,,1,36
37,109,116,106,55,13386000,81,83,,,,588680000,,9450000000,,,,1,37
38,115,122,109,58,1655000,83,86,,,,190340000,,14720000000,,,,1,38
39,119,127,112,62,346893,87,88,,,,38340000,,1250000000,,,,1,39
40,114,130,115,64,1398000,89,90,,,,413000000,,24040000000,127,56,,1,40
41,122,133,117,66,491357,91,92,,,,34620000,,142040000,,,,1,41
42,70,136,121,51,450310,93,94,,,,224840000,,3780000000,,,,1,42
43,128,140,124,20,271974,95,96,,,,53500000,,2040000000,,,,1,43
44,116,142,127,69,446373,97,99,,,,85780000,,7620000000,133,22,,1,44
45,130,146,130,71,42661000,99,50,,,,2970000000,,1.2061E+11,138,43,,1,45
46,134,151,133,74,493035,101,102,,,,48200000,,943230000,,,,1,46
47,57,153,136,75,510249,103,104,,,,39410000,,1330000000,,,,1,47
48,139,156,138,77,515144,105,106,,,,86960000,,7570000000,,,,1,48
49,31,160,140,78,302794,107,109,,,,34440000,,1720000000,,,,1,49
50,144,162,143,81,41687,110,111,,,,14530000,,119140000,21,60,,1,50
51,147,166,146,14,1992000,112,113,,,,68900000,,622230000,,,,1,51
52,150,168,149,84,17263,115,115,,,,6260000,,142580000,,,,1,52
53,103,172,151,82,18262000,117,117,,,,5940000000,,1.8512E+11,62,62,,1,53
54,156,179,154,87,897158,119,119,,,,51880000,,2820000000,149,66,,1,54
55,8,183,156,90,120547,121,122,,,,44560000,,172270000,,,,1,55
56,162,186,158,91,586614,123,124,,,,82950000,,3960000000,151,69,,1,56
57,164,190,161,27,338820,125,126,,,,50480000,,957870000,,,,1,57
58,166,193,163,94,1847000,127,128,,,,187790000,,4750000000,,,,1,58
59,1,195,165,95,325613,129,130,,,,82660000,,6010000000,157,71,,1,59
60,168,198,167,68,135040,131,132,,,,14970000,,341030000,161,76,,1,60
61,5,201,171,2,89156,133,135,,,,27100000,,1390000000,,,,1,61
62,172,204,174,98,336723,136,137,,,,65910000,,2000000000,167,44,,1,62
63,122,208,177,100,149496,138,139,,,,18230000,,226810000,,,,1,63
64,175,211,180,46,1148000,141,141,,,,59950000,,455840000,172,22,,1,64
65,176,214,182,32,227645,143,143,,,,26050000,,414910000,,,,1,65
66,177,218,185,26,8412000,145,146,,,,911000000,,45590000000,114,80,,1,66
67,117,221,188,98,520638,147,148,,,,61290000,,3880000000,,,,1,67
68,117,224,191,90,143484,149,151,,,,11310000,,95170000,,,,1,68
69,,,,,,,,,,,,,,,,,1,69
70,105,232,199,27,1025000,155,158,,,,170970000,,5980000000,185,24,,1,70
71,120,234,202,34,240641,157,160,,,,51120000,,228490000,,42,,1,71
72,185,237,205,105,4863000,159,162,,,,356140000,,6180000000,,,,1,72
73,189,240,208,79,122373,161,164,,,,25200000,,142790000,,,,1,73
74,191,243,210,90,565171,163,166,,,,302840000,,557140000,,,,1,74
75,194,245,7,17,147162,4,168,,,,20380000,,303920000,,,,1,75
76,182,248,215,107,6185000,166,170,,,,544000000,,28580000000,,,,1,76
77,201,255,218,8,330417,169,173,,,,40220000,,1410000000,194,84,,1,77
78,204,258,221,13,14388000,171,175,,,,843000000,,7830000000,,,,1,78
79,101,261,224,16,56245000,173,177,,,,5850000000,,84350000000,85,76,,1,79
80,210,267,228,110,820562,175,179,,,,34350000,,1220000000,,,,1,80
81,214,271,86,9,142772,177,182,,,,21710000,,1230000000,,,,1,81
82,217,107,234,7,19606,179,184,,,,12190000,,158380000,202,76,,1,82
83,220,277,236,27,654335,181,186,,,,53160000,,578360000,165,82,,1,83
84,223,279,121,84,4323000,183,188,,,,83240000,,1410000000,,,,1,84
