source,entity,Domain,Conditions,Humidity,day
1,2010,Dallas,Cloudy,,1
2,2010,Dallas,Overcast,75,1
3,2010,Dallas,Overcast,76,1
4,2010,Dallas,Overcast,76,1
5,2010,Dallas,Cloudy,80,1
6,2010,Dallas,Overcast,78,1
7,2010,Dallas,Cloudy,73,1
14,2010,Dallas,Cloudy,75,1
8,2010,Dallas,Cloudy,75,1
9,2010,Dallas,Weather WarningsCloudy,80,1
15,2010,Dallas,Cloudy,75,1
10,2010,Dallas,mostly cloudy,74,1
11,2010,Dallas,Light Snow,78,1
12,2010,Dallas,Cloudy,75,1
13,2010,Dallas,Overcast,76,1
1,2014,Dallas,Cloudy,,1
2,2014,Dallas,Overcast,80,1
3,2014,Dallas,Overcast,75,1
4,2014,Dallas,Overcast,77,1
5,2014,Dallas,Cloudy,74,1
6,2014,Dallas,Overcast,77,1
7,2014,Dallas,Cloudy,75,1
14,2014,Dallas,Cloudy,74,1
8,2014,Dallas,Cloudy,74,1
9,2014,Dallas,Flood warningCloudy,80,1
15,2014,Dallas,Cloudy,75,1
10,2014,Dallas,mostly cloudy,80,1
11,2014,Dallas,Cloudy,74,1
12,2014,Dallas,Cloudy,78,1
13,2014,Dallas,Overcast,75,1
1,2024,Dallas,Cloudy,,1
2,2024,Dallas,Overcast,74,1
3,2024,Dallas,Overcast,75,1
4,2024,Dallas,Overcast,77,1
5,2024,Dallas,Cloudy,74,1
6,2024,Dallas,Overcast,71,1
7,2024,Dallas,Cloudy,73,1
14,2024,Dallas,Cloudy,70,1
8,2024,Dallas,Cloudy,74,1
9,2024,Dallas,Flood warningCloudy,74,1
15,2024,Dallas,Cloudy,75,1
10,2024,Dallas,mostly cloudy,80,1
11,2024,Dallas,Cloudy,74,1
12,2024,Dallas,Cloudy,74,1
13,2024,Dallas,Overcast,75,1
1,2026,Dallas,Cloudy,,1
2,2026,Dallas,Overcast,74,1
3,2026,Dallas,Overcast,75,1
4,2026,Dallas,Overcast,75,1
5,2026,Dallas,Cloudy,71,1
6,2026,Dallas,Overcast,69,1
7,2026,Dallas,Cloudy,69,1
14,2026,Dallas,Cloudy,70,1
8,2026,Dallas,Cloudy,71,1
9,2026,Dallas,Flood warningCloudy,74,1
15,2026,Dallas,Cloudy,75,1
10,2026,Dallas,mostly cloudy,74,1
11,2026,Dallas,Cloudy,71,1
12,2026,Dallas,Cloudy,74,1
13,2026,Dallas,Overcast,75,1
1,2047,Dallas,Cloudy,,1
2,2047,Dallas,Overcast,86,1
3,2047,Dallas,Overcast,82,1
4,2047,Dallas,Overcast,81,1
5,2047,Dallas,Cloudy,81,1
6,2047,Dallas,Overcast,78,1
7,2047,Dallas,Cloudy,79,1
14,2047,Dallas,Cloudy,74,1
8,2047,Dallas,Cloudy,81,1
9,2047,Dallas,Flood warningCloudy,86,1
15,2047,Dallas,Cloudy,82,1
10,2047,Dallas,mostly cloudy,80,1
11,2047,Dallas,Cloudy,81,1
12,2047,Dallas,Cloudy,82,1
13,2047,Dallas,Overcast,82,1
1,3024,El Paso,Mostly Cloudy,,1
2,3024,El Paso,Mostly Cloudy,47,1
3,3024,El Paso,Mostly Cloudy,42,1
4,3024,El Paso,Mostly Cloudy,48,1
5,3024,El Paso,Cloudy,44,1
6,3024,El Paso,Mostly Cloudy,47,1
7,3024,El Paso,Mostly Cloudy,43,1
14,3024,El Paso,Mostly Cloudy,50,1
8,3024,El Paso,Cloudy,44,1
9,3024,El Paso,Mostly Cloudy,41,1
15,3024,El Paso,Mostly Cloudy,41,1
10,3024,El Paso,mostly cloudy,47,1
11,3024,El Paso,Cloudy,44,1
12,3024,El Paso,Cloudy,44,1
13,3024,El Paso,Mostly Cloudy,42,1
1,3026,El Paso,Mostly Cloudy,,1
2,3026,El Paso,Mostly Cloudy,41,1
3,3026,El Paso,Mostly Cloudy,40,1
4,3026,El Paso,Mostly Cloudy,45,1
5,3026,El Paso,Mostly Cloudy,40,1
6,3026,El Paso,Mostly Cloudy,41,1
7,3026,El Paso,Mostly Cloudy,40,1
14,3026,El Paso,Mostly Cloudy,42,1
8,3026,El Paso,Mostly Cloudy,41,1
9,3026,El Paso,Mostly Cloudy,41,1
15,3026,El Paso,Mostly Cloudy,40,1
10,3026,El Paso,mostly cloudy,41,1
11,3026,El Paso,Mostly Cloudy,40,1
12,3026,El Paso,Mostly Cloudy,40,1
13,3026,El Paso,Mostly Cloudy,41,1
1,4584,Las Vegas,Fair,,1
2,4584,Las Vegas,Clear,81,1
3,4584,Las Vegas,Partly Cloudy,76,1
4,4584,Las Vegas,Partly Cloudy,74,1
5,4584,Las Vegas,Mostly Sunny,75,1
6,4584,Las Vegas,Partly Cloudy,91,1
7,4584,Las Vegas,Sunny,75,1
14,4584,Las Vegas,Mostly Clear,83,1
8,4584,Las Vegas,Mostly Clear,72,1
9,4584,Las Vegas,Clear,81,1
15,4584,Las Vegas,Clear,82,1
10,4584,Las Vegas,clear sky,70,1
11,4584,Las Vegas,Mostly Sunny,75,1
12,4584,Las Vegas,Mostly Sunny,75,1
13,4584,Las Vegas,A Few Clouds,75,1
1,7126,Phoenix,Partly Cloudy,,1
2,7126,Phoenix,Partly Cloudy,43,1
3,7126,Phoenix,Scattered Clouds,43,1
4,7126,Phoenix,Scattered Clouds,46,1
5,7126,Phoenix,Partly Sunny,43,1
6,7126,Phoenix,Few,47,1
7,7126,Phoenix,Partly Cloudy,51,1
14,7126,Phoenix,Partly Cloudy,43,1
8,7126,Phoenix,Partly Sunny,42,1
9,7126,Phoenix,Partly Cloudy,45,1
15,7126,Phoenix,Mostly Clear,43,1
10,7126,Phoenix,clear sky,43,1
11,7126,Phoenix,Partly Sunny,43,1
12,7126,Phoenix,Sunny,42,1
13,7126,Phoenix,Partly Cloudy,43,1
1,7131,Phoenix,Partly Cloudy,,1
2,7131,Phoenix,Partly Cloudy,59,1
3,7131,Phoenix,Scattered Clouds,60,1
4,7131,Phoenix,Scattered Clouds,75,1
5,7131,Phoenix,Mostly Clear,59,1
6,7131,Phoenix,Clear,65,1
7,7131,Phoenix,Partly Cloudy,62,1
14,7131,Phoenix,Partly Cloudy,60,1
8,7131,Phoenix,Mostly Clear,59,1
9,7131,Phoenix,Partly Cloudy,59,1
15,7131,Phoenix,Mostly Clear,62,1
10,7131,Phoenix,clear sky,59,1
11,7131,Phoenix,Mostly Clear,59,1
12,7131,Phoenix,Mostly Clear,66,1
13,7131,Phoenix,Partly Cloudy,60,1
1,7146,Phoenix,Mostly Cloudy,,1
2,7146,Phoenix,Mostly Cloudy,55,1
3,7146,Phoenix,Mostly Cloudy,57,1
4,7146,Phoenix,Mostly Cloudy,50,1
5,7146,Phoenix,Partly Sunny,56,1
6,7146,Phoenix,Clear,49,1
7,7146,Phoenix,Mostly Cloudy,51,1
14,7146,Phoenix,Mostly Cloudy,69,1
8,7146,Phoenix,Partly Sunny,56,1
9,7146,Phoenix,Mostly Cloudy,54,1
15,7146,Phoenix,Mostly Cloudy,47,1
10,7146,Phoenix,mostly cloudy,54,1
11,7146,Phoenix,Partly Sunny,56,1
12,7146,Phoenix,Mostly Sunny,54,1
13,7146,Phoenix,Mostly Cloudy,47,1
1,7150,Phoenix,Mostly Cloudy,,1
2,7150,Phoenix,Mostly Cloudy,37,1
3,7150,Phoenix,Mostly Cloudy,38,1
4,7150,Phoenix,Mostly Cloudy,38,1
5,7150,Phoenix,Intermittent Clouds,37,1
6,7150,Phoenix,Clear,39,1
7,7150,Phoenix,Mostly Cloudy,36,1
14,7150,Phoenix,Mostly Cloudy,42,1
8,7150,Phoenix,Intermittent Clouds,37,1
9,7150,Phoenix,Mostly Cloudy,36,1
15,7150,Phoenix,Mostly Cloudy,37,1
10,7150,Phoenix,mostly cloudy,36,1
11,7150,Phoenix,Clouds And Sun,37,1
12,7150,Phoenix,Sunny,37,1
13,7150,Phoenix,Mostly Cloudy,38,1
1,7152,Phoenix,Mostly Cloudy,,1
2,7152,Phoenix,Mostly Cloudy,34,1
3,7152,Phoenix,Mostly Cloudy,34,1
4,7152,Phoenix,Mostly Cloudy,38,1
5,7152,Phoenix,Mostly Cloudy,33,1
6,7152,Phoenix,Clear,35,1
7,7152,Phoenix,Mostly Cloudy,34,1
14,7152,Phoenix,Mostly Cloudy,35,1
8,7152,Phoenix,Intermittent Clouds,35,1
9,7152,Phoenix,Mostly Cloudy,34,1
15,7152,Phoenix,Mostly Cloudy,34,1
10,7152,Phoenix,mostly cloudy,34,1
11,7152,Phoenix,Mostly Cloudy,33,1
12,7152,Phoenix,Sunny,32,1
13,7152,Phoenix,Mostly Cloudy,34,1
