Timestamp,Location,Current conditions,temperature,feels like,High,Low,Precipitation (%),Relative Humidity (%),Barometer (atm),Dew Point,Visibility (Miles),(Wind Direction),Wind Speed (mph)
Wed Feb  3 08:17:28 2010," US and USA, AZ and Arizona, Phoenix, 85001",Cloudy,60,60,70,53,70,63,29.69 Steady ,47,9,WSW,3
Wed Feb  3 09:03:59 2010," US and USA, AZ and Arizona, Phoenix, 85001",Cloudy,59,59,70,53,70,64,29.68 Steady ,46,9,WSW,4
Wed Feb  3 09:47:48 2010," US and USA, AZ and Arizona, Phoenix, 85001",Cloudy,57,57,70,54,70,64,29.67 Steady ,45,10,SW,4
Wed Feb  3 10:31:13 2010," US and USA, AZ and Arizona, Phoenix, 85001",Cloudy,56,56,65,51,70,67,29.66 Falling ,45,10,SW,5
Wed Feb  3 11:18:05 2010," US and USA, AZ and Arizona, Phoenix, 85001",Cloudy,58,58,65,51,70,56,29.64 Falling Rapidly ,42,10,W,5
Wed Feb  3 12:02:49 2010," US and USA, AZ and Arizona, Phoenix, 85001",Cloudy,58,58,65,51,70,58,29.64 Steady ,43,9,WSW,4
Wed Feb  3 12:46:01 2010," US and USA, AZ and Arizona, Phoenix, 85001",Cloudy,56,56,65,51,70,65,29.63 Steady ,44,10,SW,4
Wed Feb  3 13:29:44 2010," US and USA, AZ and Arizona, Phoenix, 85001",Cloudy,55,55,65,51,70,67,29.62 Falling ,44,10,CALM,0
Wed Feb  3 14:15:52 2010," US and USA, AZ and Arizona, Phoenix, 85001",Cloudy,55,55,65,51,70,64,29.62 Steady ,43,10,SW,3
Wed Feb  3 15:01:52 2010," US and USA, AZ and Arizona, Phoenix, 85001",Cloudy,55,55,65,51,70,66,29.62 Steady ,44,9,SW,4
Wed Feb  3 15:46:40 2010," US and USA, AZ and Arizona, Phoenix, 85001",Cloudy,55,55,65,51,70,62,29.62 Steady ,42,9,E,1
Wed Feb  3 16:32:33 2010," US and USA, AZ and Arizona, Phoenix, 85001",Mostly Cloudy,54,54,65,51,70,66,29.62 Steady ,43,10,CALM,0
Wed Feb  3 17:19:43 2010," US and USA, AZ and Arizona, Phoenix, 85001",Mostly Cloudy,57,57,65,51,70,57,29.64 Rising Rapidly ,42,10,SSW,3
Wed Feb  3 18:08:01 2010," US and USA, AZ and Arizona, Phoenix, 85001",Cloudy,60,60,65,51,70,52,29.64 Steady ,42,10,SSW,4
Wed Feb  3 18:51:09 2010," US and USA, AZ and Arizona, Phoenix, 85001",Mostly Cloudy,62,62,64,51,70,48,29.65 Steady ,41,10,SW,5
Wed Feb  3 19:35:25 2010," US and USA, AZ and Arizona, Phoenix, 85001",Mostly Cloudy,63,63,65,51,70,43,29.65 Steady ,40,10,S,1
Wed Feb  3 20:19:29 2010," US and USA, AZ and Arizona, Phoenix, 85001",Mostly Cloudy,67,67,65,51,70,32,29.63 Falling Rapidly ,36,10,ESE,6
Wed Feb  3 21:03:48 2010," US and USA, AZ and Arizona, Phoenix, 85001",Mostly Cloudy,69,69,65,51,70,31,29.63 Steady ,37,10,SE,7
Wed Feb  3 21:51:53 2010," US and USA, AZ and Arizona, Phoenix, 85001",Mostly Cloudy,69,69,68,51,70,30,29.62 Steady ,37,10,S,1
Wed Feb  3 22:37:25 2010," US and USA, AZ and Arizona, Phoenix, 85001",Mostly Cloudy,70,70,68,51,30,29,29.60 Steady ,37,9,SSW,5
Wed Feb  3 23:28:21 2010," US and USA, AZ and Arizona, Phoenix, 85001",Mostly Cloudy,70,70,68,51,30,30,29.60 Steady ,37,10,SSE,8
Thu Feb  4 00:13:17 2010," US and USA, AZ and Arizona, Phoenix, 85001",Mostly Cloudy,69,69,68,51,30,33,29.61 Rising ,39,10,SSE,8
Thu Feb  4 00:57:19 2010," US and USA, AZ and Arizona, Phoenix, 85001",Mostly Cloudy,68,68,68,51,30,36,29.61 Steady ,40,8,SSE,9
Thu Feb  4 01:40:37 2010," US and USA, AZ and Arizona, Phoenix, 85001",Mostly Cloudy,68,68,68,51,30,36,29.62 Steady ,40,8,S,7
Thu Feb  4 02:28:21 2010," US and USA, AZ and Arizona, Phoenix, 85001",Mostly Cloudy,68,68,68,51,30,36,29.64 Rising Rapidly ,40,10,S,6
Thu Feb  4 03:11:33 2010," US and USA, AZ and Arizona, Phoenix, 85001",Cloudy,66,66,68,51,30,40,29.64 Steady ,40,8,SSE,6
Thu Feb  4 03:56:00 2010," US and USA, AZ and Arizona, Phoenix, 85001",Cloudy,66,66,68,51,30,44,29.67 Steady ,43,8,NE,8
Thu Feb  4 04:39:16 2010," US and USA, AZ and Arizona, Phoenix, 85001",Cloudy,61,61,68,51,30,66,29.67 Steady ,50,9,SE,2
Thu Feb  4 05:22:38 2010," US and USA, AZ and Arizona, Phoenix, 85001",Mostly Cloudy,61,61,68,51,30,70,29.69 Rising Rapidly ,51,10,SE,8
Thu Feb  4 15:00:15 2010," US and USA, AZ and Arizona, Phoenix, 85001",Clear,50,48,69,51,20,84,29.84 Steady ,45,9,ESE,4
Thu Jan 28 15:39:53 2010," US and USA, AZ and Arizona, Phoenix, 85001",Cloudy,52,52,64,48,30,95,29.88 Steady ,50,5,SSE,6
Thu Jan 28 16:00:42 2010," US and USA, AZ and Arizona, Phoenix, 85001",Cloudy,52,52,64,48,30,95,29.88 Steady ,50,5,SSE,6
