source,Flight,scheduled_departure,actual_departure,departure_gate,scheduled_arrival,actual_arrival,arrival_gate,,,
0,2,0,30,,0,335,,,,2
0,20,0,360,,0,400,,,,20
0,21,0,360,,0,450,,,,21
0,25,0,360,369,0,560,530,,,25
0,26,0,360,,0,443,,,,26
0,31,0,360,,0,620,,,,31
0,73,0,400,414,0,565,549,,,73
0,75,0,405,418,0,465,460,,,75
0,89,0,419,443,0,634,596,,,89
0,93,0,420,,0,595,,,,93
1,2,0,30,,0,335,,,,2
1,20,0,360,370,0,400,379,,,20
1,25,0,360,369,0,560,540,,,25
1,26,0,360,,0,443,,,,26
1,75,0,405,417,0,465,460,,,75
1,93,0,420,,0,595,,,,93
2,2,0,30,41,0,335,326,,,2
2,20,0,360,370,0,400,379,,,20
2,21,0,360,416,0,450,471,,,21
2,25,0,360,368,0,560,545,,,25
2,26,0,360,356,0,443,437,,,26
2,31,0,360,362,0,620,627,,,31
2,73,0,400,414,0,565,568,,,73
2,75,0,405,417,0,465,460,,,75
2,89,0,419,442,0,634,604,,,89
2,93,0,420,445,0,595,585,,,93
3,2,0,30,41,0,335,326,,,2
3,20,0,360,370,0,400,379,,,20
3,21,0,360,416,0,450,471,,,21
3,31,0,360,362,0,620,627,,,31
3,93,0,420,445,0,595,585,,,93
4,2,0,30,41,0,335,326,,,2
4,20,0,360,370,0,400,379,,,20
4,21,0,360,416,0,450,471,,,21
4,25,0,360,368,0,560,545,,,25
4,26,0,360,356,0,443,437,,,26
4,31,0,360,362,0,620,627,,,31
4,73,0,400,414,0,565,568,,,73
4,75,0,405,417,0,465,460,,,75
4,89,0,419,442,0,634,604,,,89
4,93,0,420,445,0,595,585,,,93
5,20,0,360,370,0,400,379,,,20
5,21,0,360,416,0,450,471,,,21
5,25,0,360,368,0,560,545,,,25
5,73,0,400,414,0,565,568,,,73
5,75,0,405,417,0,465,460,,,75
5,89,0,419,442,0,634,604,,,89
5,93,0,420,445,0,595,585,,,93
6,21,0,360,,0,450,,6,5,21
7,20,0,360,,0,400,,,,20
7,25,0,360,369,0,560,540,,,25
7,73,0,400,414,0,565,549,,,73
7,75,0,405,417,0,465,460,,,75
7,93,0,420,445,0,595,585,,,93
8,20,0,360,370,0,400,379,5,4,20
8,21,0,360,416,0,450,471,6,5,21
8,25,0,360,368,0,560,545,10,9,25
8,73,0,400,414,0,565,568,23,23,73
8,75,0,405,417,0,465,460,24,24,75
8,89,0,419,442,0,634,604,30,30,89
8,93,0,420,445,0,595,585,34,3,93
10,20,0,360,370,0,400,379,5,4,20
10,21,0,360,416,0,450,471,6,5,21
10,25,0,360,368,0,560,545,33,9,25
10,73,0,400,414,0,565,568,23,310,73
10,75,0,405,417,0,465,460,24,24,75
10,89,0,419,442,0,634,604,338,30,89
10,93,0,420,445,0,595,585,34,3,93
11,20,0,360,370,0,400,379,5,4,20
11,21,0,360,416,0,450,471,6,5,21
11,25,0,360,368,0,560,545,33,9,25
11,73,0,400,414,0,565,568,23,310,73
11,75,0,405,417,0,465,460,24,24,75
11,89,0,419,442,0,634,604,338,30,89
11,93,0,420,445,0,595,585,34,3,93
12,20,0,360,370,0,400,379,5,4,20
12,21,0,360,416,0,450,471,6,5,21
12,25,0,360,368,0,560,545,33,9,25
12,73,0,400,414,0,565,568,23,310,73
12,75,0,405,417,0,465,460,24,24,75
12,89,0,419,442,0,634,604,338,30,89
12,93,0,420,445,0,595,585,34,3,93
17,20,0,360,371,0,400,379,5,4,20
17,21,0,360,417,0,450,471,6,5,21
17,25,0,360,369,0,560,545,10,9,25
17,73,0,400,414,0,565,568,23,23,73
17,75,0,405,418,0,465,452,24,24,75
17,89,0,419,443,0,634,604,30,30,89
17,93,0,420,445,0,595,585,534,3,93
18,20,0,360,371,0,400,367,,,20
18,21,0,360,417,0,450,471,,,21
18,25,0,360,369,0,560,540,,,25
18,73,0,400,414,0,565,552,,,73
18,75,0,405,418,0,465,452,,,75
18,89,0,419,443,0,634,598,,,89
18,93,0,420,445,0,595,582,,,93
19,2,0,,58,0,,326,,,2
19,20,0,360,371,0,400,379,5,4,20
19,21,0,360,417,0,450,471,6,5,21
19,25,0,360,369,0,560,545,10,9,25
19,26,0,,370,0,,437,,,26
19,31,0,,377,0,,627,,,31
19,73,0,400,414,0,565,568,23,23,73
19,75,0,405,418,0,465,452,24,24,75
19,89,0,419,443,0,634,604,30,30,89
19,93,0,420,445,0,595,585,534,3,93
20,20,0,360,371,0,400,379,5,4,20
20,21,0,360,417,0,450,471,6,5,21
20,25,0,360,369,0,560,545,10,9,25
20,73,0,400,414,0,565,568,23,23,73
20,75,0,405,418,0,465,452,24,24,75
20,89,0,419,443,0,634,604,30,30,89
20,93,0,420,445,0,595,585,534,3,93
21,20,0,360,371,0,400,379,,,20
21,21,0,360,417,0,450,471,,,21
21,25,0,360,369,0,560,545,,,25
21,73,0,400,414,0,565,568,,,73
21,75,0,405,418,0,465,452,,,75
21,89,0,419,443,0,634,604,,,89
21,93,0,420,445,0,595,585,,,93
22,20,0,360,371,0,400,379,5,4,20
22,21,0,360,417,0,450,471,6,5,21
22,25,0,360,369,0,560,545,10,9,25
22,73,0,400,414,0,565,568,23,23,73
22,75,0,405,418,0,465,452,24,24,75
22,89,0,419,443,0,634,604,30,30,89
22,93,0,420,445,0,595,585,534,3,93
