2,70.0,30,37
1,21.5,12,40
1,79,49,43
1,64,34,46
1,50.2,24.3,53
1,54,36,56
1,54,41,59
1,70,46,62
1,72,61.1,89
1,64,39,69
4,52,31,73
1,59,30,75
1,61,27.7,77
1,64,30,79
1,59,27,81
1,70.5,32,38
1,22.0,7,41
1,79,52,44
1,64.2,43,83
1,68.4,,51
1,70,52,51
1,48,27.5,54
1,50.5,39,57
1,55.4,46,60
1,73,51.6,63
1,79.7,63,65
1,63,55,67
1,61,37,70
4,54,23,91
1,59,30,92
1,62,33.4,94
1,55,39,95
1,70.9,39,39
1,17.8,1,42
1,82,48,45
1,73,46,47
1,68.9,53.5,85
1,48.2,24.1,55
1,52.1,41,58
1,57,45,61
1,72,46,64
1,70,61,66
1,72,55,68
1,68,47,71
1,71.4,46,78
1,61,37,82
1,73.4,39,117
1,14,0,2
1,83.4,49,5
1,70,45,8
1,69,52,118
2,52,31.2,119
1,55.0,34,120
1,57,39,14
1,75,46,16
1,78.7,61,19
1,73,55,20
1,70,39,121
1,84.4,64,171
1,57,26,24
1,59,37,122
1,59,41.7,29
1,63,37,123
1,63,36,34
1,75.7,34,0
1,16.3,1,3
1,81,48,6
1,70,43,9
1,64.3,46,144
1,72,53,12
1,73,52,101
1,54,26.7,104
2,56.5,30,145
2,59,36,15
2,75,52,17
1,77.9,57,146
2,70,53,21
1,70,37,147
1,83.8,68,148
1,66,46.4,30
1,63,34,32
1,59.7,37,1
1,22.8,3,4
1,85.5,44,7
1,65.4,39,99
1,80,48,102
1,57.2,28.0,105
1,60.2,33.5,106
1,61,37,108
1,76.8,54,18
1,81.3,56.9,111
2,72,46,22
1,72,37,23
2,46,12,26
1,63,32.2,31
1,59,28,36
2,52.2,28,96
1,22.2,3,97
2,84,55,98
1,57,30,180
1,66.4,39,129
1,58.4,37,109
2,64,46,110
1,77.8,52.9,112
1,72.4,52,113
1,61,36.7,136
2,52,20,138
1,34.0,24.9,114
1,37.4,21.7,115
1,34,25,182
1,32,19,116
2,64.4,25,125
1,19,3,126
2,82.5,47,127
1,63,28,128
1,66.5,37,130
1,74,52,132
1,40.3,27.3,205
1,41,32,157
1,43,34.9,134
2,61.9,36,160
1,80.0,54.9,162
2,70,46,135
2,61,28,137
1,84,66,206
4,48,26,139
1,46,28,140
1,53.4,31.1,141
1,46,25,142
1,43,27,143
2,16.8,1,150
1,81.2,47,151
1,64.6,39,153
1,70,57,154
1,70,57,155
1,46,30.0,156
1,52,26.6,158
1,55.6,34,159
1,68.7,44.8,161
1,79.6,57.7,163
1,77,48,164
1,66,28,165
1,45,17,166
1,39,27,167
1,46,28.0,168
1,51,30,169
1,38,28.9,170
1,16.8,-2,184
1,82,45,173
1,64,39,187
1,70,52,190
4,39,26.0,192
1,79,55,176
1,81.0,68,242
1,48,14,178
1,72,19,215
1,40,19,243
4,42,26,179
1,34,12,219
1,59.2,34,183
1,16.9,-2,185
1,81.7,49,186
1,55.2,30,225
1,67,55,189
1,67,55,191
1,43,31.5,193
1,43.6,33.9,262
1,48,37,263
1,63,48,197
1,82.2,65.0,198
1,70,60,199
1,59,35,264
1,86.4,63,265
1,51,21,200
1,46,28,201
1,52,27,202
1,45,23,203
1,47,19,204
2,66.4,27,207
1,17.1,-6,222
1,79,48,208
1,63,32,209
1,45,23.3,212
2,47.8,26.3,278
1,50,34,279
1,64.2,44.1,213
1,75,54,233
1,61,28,254
1,80.4,63,280
4,55,30,214
1,52,28,216
2,57,30.0,217
1,50,24,218
2,55,28,220
1,69.6,30,221
2,24.8,-6,223
1,76.3,48,224
1,66,36,226
4,41,27.9,227
1,51.7,27,228
1,54,34,229
1,70,50,230
1,76,55,234
1,64,34,255
1,83.3,63,235
1,194,38,237
1,63,40.6,238
1,59,32,239
1,54,28,240
1,74.1,36,244
1,27,-1,245
1,75.6,48,246
4,34,28.7,248
1,56.7,32,249
1,52,37,250
1,73.6,56.3,251
1,68,37,256
1,87.1,63,257
4,54,33,258
1,61,39,316
1,66,39.6,259
1,65,33,260
1,59,28,261
1,72.9,45,283
2,16.1,-6,267
1,78.6,48,286
1,73,62.4,288
1,48,30,268
1,61,39,269
1,73.9,54,271
1,72,43,293
1,75.0,56.1,276
1,61,48,277
1,76.8,43,284
1,15.6,-6,285
1,76.6,50,287
1,75,61.3,289
1,63,39,352
1,68.7,48,306
1,70,46,290
1,77.5,63,292
1,72,41,294
1,84.7,72,361
4,52,20,296
1,72,42,334
1,73,53.4,297
1,70,43,298
1,14.0,3,302
1,77.7,49,303
1,67,55,324
1,72,48,383
1,71.3,48,328
1,85.8,60.3,307
1,78.7,66,384
1,79,55,308
1,72,43,309
1,43,16,310
1,5,-11,318
1,81,47,319
1,63,45.1,320
1,67,50,325
1,79,70,331
1,76,57,332
1,68,52,375
4,46,27,333
1,54,30,344
2,50,32.0,346
2,49,27,350
1,72.1,45,337
1,5.7,-10,338
1,81,47,339
1,64,52.9,340
1,59.4,53.3,414
1,66,55.8,341
1,68,57,342
1,41,27.0,415
2,48,27,416
1,54,34.1,417
1,75.6,57,372
1,81.9,67.4,418
1,64,55,419
1,84.2,63,420
4,45,29,377
1,46.2,32,345
1,54,34.7,347
1,49,28,349
1,52,34,351
1,68,52,362
4,5.5,-6,363
1,75.1,46,364
1,63,55,365
1,63.1,39,366
1,69,51,368
1,70,61,373
1,77,63,374
1,64,47.2,376
1,88.2,69.6,436
4,43,25,378
1,73.2,52,386
1,16.6,-2,387
1,74.2,46,388
1,68,55,425
1,61,43,389
1,81,62,395
1,82.9,66,396
4,39,18,397
4,41.2,32.9,451
1,73.9,59.7,421
4,27,16,400
1,72,41,401
1,63,37,402
1,68,54.3,403
1,70,55,404
1,83.5,71.4,408
4,28,0,411
4,29,24,423
1,70,45,424
1,63.0,39,428
1,74,49,430
1,79,67.5,517
1,83.8,72.0,542
4,30,7,433
4,43,30,490
4,46,26.7,491
4,55,30,495
1,39,23.5,434
4,28,16,439
1,68.6,37,440
1,45,27,441
1,61.9,37,442
1,73,48,444
1,61,36,513
1,83.8,71.6,514
4,41,9,446
4,36,25,461
4,39,20.3,463
4,37,28,465
1,38.3,18,447
4,28,21,453
1,72,37,454
1,52,27,455
1,70,55,458
1,55,25.0,537
1,63,32,538
1,63,39,539
1,83.3,75,543
1,60,36,540
1,82,68.7,541
4,46,13,460
1,46,26.0,462
4,48,23.7,464
1,47,22,466
1,48,27,467
2,63.0,27,471
4,36,25.7,472
1,72,39,473
1,55.2,28,474
1,55,37,475
1,45,23.3,478
2,48,34,479
1,48,37,480
1,83.0,70.3,553
4,48,16,484
1,48,29,485
4,48,29.3,486
1,50,23,487
2,49,34,488
2,63.7,28,496
1,36,19,497
1,61,30,498
1,52.4,34,499
1,59,43.4,569
1,60,44,570
1,48,22.2,500
2,52,24.9,501
1,53.9,30,502
1,52,43,503
1,79.6,63.8,571
1,70,55,586
1,61,30,504
4,45,13,505
1,50,30,506
1,55,31.6,507
1,54,27,508
2,52,21,509
1,22,2.6,520
1,45,25.9,525
1,50,31.4,526
1,54,37,527
1,68,43,528
1,79,57,530
1,59,37,531
1,82,67.8,587
