source,flight,scheduled_departure,actual_departure,departure_gate,scheduled_arrival,actual_arrival,arrival_gate,attr9,attr10,attr11
0,0,0,5,,0,340,,,,0
0,1,0,25,,0,355,,,,1
0,2,0,30,,0,335,,,,2
0,3,0,75,,0,326,,,,3
0,4,0,111,,0,560,,,,4
0,5,0,301,,0,350,,,,5
0,6,0,320,,0,408,,,,6
0,8,0,330,,0,495,,,,8
0,9,0,330,361,0,495,486,,,9
0,7,0,330,,0,509,,,,7
0,10,0,330,360,0,509,471,,,10
0,12,0,333,,0,545,,,,12
0,13,0,335,353,0,525,502,,,13
0,14,0,342,,0,505,,,,14
0,15,0,342,,0,505,,,,15
0,16,0,345,436,0,560,625,,,16
0,17,0,350,,0,485,,,,17
0,18,0,350,,0,560,,,,18
0,19,0,355,,0,417,,,,19
0,37,0,360,,0,383,,,,37
0,20,0,360,,0,400,,,,20
0,36,0,360,,0,431,,,,36
0,26,0,360,,0,443,,,,26
0,21,0,360,,0,450,,,,21
0,38,0,360,,0,453,,,,38
0,22,0,360,,0,455,,,,22
0,27,0,360,,0,459,,,,27
0,28,0,360,,0,463,,,,28
0,23,0,360,,0,480,,,,23
0,24,0,360,,0,485,,,,24
0,39,0,360,373,0,498,458,,,39
0,29,0,360,366,0,538,507,,,29
0,29,0,360,,0,538,,,,29
0,40,0,360,,0,557,,,,40
0,25,0,360,369,0,560,530,,,25
0,30,0,360,380,0,583,538,,,30
0,31,0,360,,0,620,,,,31
0,32,0,360,,0,707,,,,32
0,33,0,360,373,0,707,680,,,33
0,35,0,360,,0,738,,,,35
0,34,0,360,368,0,867,812,,,34
0,42,0,365,,0,467,,,,42
0,41,0,365,,0,530,,,,41
0,49,0,370,,0,445,,,,49
0,47,0,370,,0,478,,,,47
0,48,0,370,375,0,478,457,,,48
0,43,0,370,,0,560,,,,43
0,46,0,370,385,0,604,565,,,46
0,45,0,370,398,0,835,836,,,45
0,52,0,375,394,0,489,483,,,52
0,50,0,375,390,0,560,546,,,50
0,51,0,375,382,0,635,622,,,51
