entity_id,brand,number,external_memory_type,white_balance,day
6,Nikon,1721,24,Cloudy;Flash;Fluorescent,1
13,Nikon,899,16.2,Cloudy;Daylight;Sunny;Fine;Flash;Fluorescent;Incandescent;Shade;Sunlight;Tungsten,1
18,Canon,1065,18,Cloudy;Daylight;Sunny;Flash;Fluorescent;Halogen;Incandescent;Shade;Tungsten,1
19,Nikon,1677,24,Cloudy;Flash;Fluorescent,1
23,Canon,1317,18,Cloudy;Daylight;Sunny;Fine;Flash;Fluorescent;Shade;Tungsten;Underwater,1
41,Nikon,1003,24.1,Cloudy;Flash;Fluorescent;Incandescent;Shade;Sunlight;Sunny;Tungsten,1
44,Nikon,950,24.2,Artificial;Cloudy;Flash;Fluorescent;Incandescent;Shade;Sunlight;Sunny;Tungsten,1
48,Canon,665,12.1,Cloudy;Daylight;Sunny;Flash;Fluorescent;Tungsten,1
58,Nikon,1450,10.1,Artificial;Cloudy;Daylight;Sunny;Flash;Fluorescent;Incandescent;Shade;Sunlight;Sunny;Tungsten,1
65,Fujifilm,1107,16,Daylight;Sunny;Shade,1
67,Canon,1352,16,Artificial;Cloudy;Daylight;Sunny;Fluorescent;Tungsten,1
69,Sony,1458,36,Cloudy;Daylight;Sunny;Shade;Underwater,1
70,Panasonic,916,14.1,Cloudy;Daylight;Sunny;Incandescent;Shade,1
75,Nikon,1284,16.2,Cloudy;Daylight;Sunny;Fine;Flash;Fluorescent;Incandescent;Indoor;Shade;Sunlight;Tungsten,1
76,Nikon,1138,24,Sunlight,1
83,Nikon,187,10.1,Auto,1
88,Sony,1569,20,Cloudy;Daylight;Sunny;Flash,1
96,Canon,1411,20,Cloudy;Daylight;Sunny;Flash;Fluorescent;Tungsten,1
101,Canon,1662,22.3,Artificial;Cloudy;Daylight;Sunny;Flash;Fluorescent;Shade;Tungsten,1
570,Nikon,929,36.3,Cloudy;Daylight;Sunny;Flash;Fluorescent;Incandescent;Shade;Tungsten,1
