entity,source,brand,number,screen_type,supported_aspect_ratio,response_time(ms),screen_size_diagonal,day
22,3,Philips_Electronics,410,Brilliance LCD Monitor LED Backlight with SmartImage,5:04,5,48.3,1
25,3,Philips_Electronics,1540,Brilliance LCD monitor LED Backlight With PowerSensor,16:10,5,55.9,1
27,3,Philips_Electronics,772,Brilliance LCD Monitor LED Backlight with PowerSensor,16:09,5,54.6,1
28,3,Philips_Electronics,576,LED,16:09,5,54.6,1
32,3,Philips_Electronics,585,Brilliance LCD Monitor LED Backlight with PowerSensor,16:09,5,61,1
33,3,Philips_Electronics,619,Brilliance LCD Monitor with SmartImage Game 242G5DJEB 144Hz 24\,16:09,1,61,1
39,3,Philips_Electronics,1899,273E3LHSB Widescreen LCD Monitor,16:09,5,68.6,1
40,3,Philips_Electronics,405,LCD/TFT,16:09,5,68.6,1
41,3,Philips_Electronics,701,LCD Monitor with SmartControl Lite,16:09,5,68.6,1
62,3,Philips_Electronics,600,Brilliance LCD Monitor With Clinical D-image,16:10,14,61,1
88,3,iiyama_North_America,1710,ProLite E2483HS - A Full HD LED Monitor with 2 ms Response Time,16:09,2,61,1
103,3,Hannspree,1801,HL205DPB Widescreen LCD Monitor,16:09,5,49.5,1
128,3,Asus,927,PA249Q Widescreen LCD Monitor,16:10,6,61,1
132,3,Asus,829,PB298Q Widescreen LCD Monitor,21:09,5,73.7,1
133,3,Asus,1059,PQ321QE Widescreen LCD Monitor,16:09,8,80,1
168,3,Asus,646,VG278HE Widescreen LCD Monitor,16:09,2,68.6,1
171,3,Asus,891,VK278Q Widescreen LCD Monitor,16:09,2,68.6,1
186,3,Asus,905,VW22ATL Widescreen LCD Monitor,16:10,5,55.9,1
190,3,Asus,870,VX279Q Widescreen LCD Monitor,16:09,5,68.6,1
193,3,iiyama_North_America,362,IPS,16:09,5,58.42,1
