entity,source,brand,number,screen_type,supported_aspect_ratio,response_time(ms),screen_size_diagonal,day
22,5,Philips_Electronics,864,LCD Monitor,5:04,5,48.3,1
25,5,Philips_Electronics,286,LCD Monitor,16:10,5,55.9,1
27,5,Philips_Electronics,230,LCD Monitor,16:09,5,54.6,1
28,5,Philips_Electronics,680,LCD Monitor,16:09,5,54.6,1
32,5,Philips_Electronics,550,LCD Monitor,16:09,5,61,1
33,5,Philips_Electronics,462,LCD Monitor,16:09,1,61,1
39,5,Philips_Electronics,167,LCD Monitor,16:09,5,68.6,1
40,5,Philips_Electronics,888,LCD Monitor,16:09,5,68.6,1
41,5,Philips_Electronics,135,LCD Monitor,16:09,5,68.6,1
62,5,Philips_Electronics,464,LCD Monitor,16:10,14,61,1
88,5,iiyama_North_America,872,LCD Monitor,16:09,2,61,1
103,5,Hannspree,169,LCD Monitor,16:09,5,49.5,1
128,5,Asus,682,LCD Monitor,16:10,6,61,1
132,5,Asus,471,LCD Monitor,21:09,5,73.7,1
133,5,Asus,638,LCD Monitor,16:09,8,80,1
168,5,Asus,213,LCD Monitor,16:09,2,68.6,1
171,5,Asus,863,LCD Monitor,16:09,2,68.6,1
186,5,Asus,182,LCD Monitor,16:10,5,55.9,1
190,5,Asus,408,LCD Monitor,16:09,5,68.6,1
193,5,iiyama_North_America,336,LCD Monitor,16:09,5,58.4,1
