entity,source,brand,number,screen_type,supported_aspect_ratio,response_time(ms),screen_size_diagonal,day
22,2,Philips_Electronics,295,TFT LCD 16.7 Million Colour,5:04,5,48.3,1
25,2,Philips_Electronics,311,LCD,16:10,5,55.9,1
27,2,Philips_Electronics,125,TFT LCD 16.7 Million Colour,16:09,5,54.6,1
28,2,Philips_Electronics,322,TFT LCD 16.7 Million Colour,16:09,5,58.4,1
32,2,Philips_Electronics,318,LCD with LED Backlight 16.7 Million Colour,16:09,5,61,1
33,2,Philips_Electronics,230,TFT LCD 16.7 Million Colour,16:09,5,61,1
39,2,Philips_Electronics,111,LCD Monitor,16:09,5,68.6,1
40,2,Philips_Electronics,14,TFT LCD 16.7 Million Colour,16:09,5,68.6,1
41,2,Philips_Electronics,124,TFT LCD 16.7 Million Colour,16:09,5,68.6,1
62,2,Philips_Electronics,245,IPS TFT LCD 16.7 Million Colour,16:10,14,61,1
88,2,iiyama_North_America,328,TFT LCD 16.7 million Colour,16:09,2,61,1
103,2,Hannspree,402,LED Backlight 16.7 Million Colour,16:09,5,49.5,1
128,2,Asus,193,IPS,16:10,6,24,1
132,2,Asus,533,AH-IPS 16.7 Million Colour,21:09,5,73.7,1
133,2,Asus,452,Widescreen 1.07 Billion Colour,16:09,8,80,1
168,2,Asus,379,Widescreen 16.7 Million Colour,16:09,2,68.6,1
171,2,Asus,345,16.7 million Colours,16:09,2,68.6,1
186,2,Asus,290,LED 16.7 million Colour,16:10,5,55.9,1
190,2,Asus,398,Widescreen IPS 16.7 Million Colour,16:09,5,68.6,1
193,2,iiyama_North_America,213,LED Backlight LCD IPS Panel 16.7 million Colour,16:09,5,58.4,1
