entity,brand,num,condition,day
6_1,Nikon,26.10498612,Preset;Autos,1
13_1,,,,
18_1,,,,
19_1,,,,
23_1,Canon,,Preset;User Defined;Color Temperature Setting;White Balance Correction and White Balance Bracketing;Available,1
41_1,Nikon,,Preset,1
44_1,Nikon,,Preset;Auto,1
48_1,,,,
570_1,,,,
58_1,,,,
65_1,,,,
67_1,,,,
69_1,,,,
70_1,,,,
75_1,Nikon,,incandescent;fluorescent;direct sunlight;flash;cloudy;shade;preset manual white balance;color temperature selection;Auto,1
76_1,,,,
83_1,,,,
88_1,,,,
96_1,,,,
101_1,Canon,,Preset;User Defined;Color Temperature Setting;White Balance Correction and White Balance Bracketing;Auto,1
