entity,brand,num,condition,day
6_1,Nikon,26.10498612,Preset;Autos,1
13_1,Nikon,17.45761761,Incandescent;Fluorescent;Indirect Sunlight;Flash;Cloudy;Shade;Preset Manual;Color Temperature;All with Fine-Tuning;Auto,1
18_1,Canon,19.72810603,Custom White Balance;Auto;Preset;Custom;Colour temperature setting;White Balance Preset,1
19_1,Nikon,26.84420823,Custom White Balance;Auto;incandescent;fluorescent;direct sunlight;flash;cloudy;shade;preset manual;all except preset manual with fine-tuning;White Balance Presets,1
23_1,Canon,16.6899513,Custom White Balance;Auto;Daylight;Shade;Cloudy;Tungsten Light;White Fluorescent Light;Flash;Custom;White Balance Presets,1
41_1,Nikon,22.62696373,Custom White Balance;Auto;incandescent;fluorescent;direct sunlight;flash;cloudy;shade;preset manual;all except preset manual with fine-tuning;White Balance Presets,1
44_1,Nikon,24.53992339,Incandescent;Fluorescent;Direct Sunlight;Flash;Cloudy;Shade;Preset Manual;White Balance Presets;Custom White Balance;Auto,1
48_1,Canon,12.79755124,Daylight;Cloudy;Tungsten;Fluorescent;Fluorescent H;Flash;Custom1;Custom 2;Multi-area WB Correction;White Balance Compensation;Auto,1
570_1,Nikon,34.85712352,White Balance Presets;Auto;Incandescent;Fluorescent;Direct Sunlight;Flash;Cloudy;Shade;Color Temperature;All with Fine-tuning;Custom White Balance,1
58_1,Nikon,9.197391018,Custom White Balance;White Balance Preset,1
65_1,Fujifilm,15.92489001,Preset;Automatic,1
67_1,Canon,16.71349035,Day Light;Cloudy;Tungsten;Fluorescent;Custom;Auto,1
69_1,Sony,38.30139049,Custom White Balance;White Balance Preset,1
70_1,Panasonic,15.09644714,Daylight;Cloudy;Shade;Incandescent;White Set;Auto,1
75_1,Nikon,17.50482921,White Balance Presets;Auto;Incandescent;Fluorescent;Direct Sunlight;Flash;Cloudy;Shade;presetchoose color temperature;Custom White Balance,1
76_1,Nikon,24.82511135,White Balance Presets;Auto;Incandescent;Fluorescent;Direct Sunlight;Flash;Cloudy;Shade;Preset Manual,1
83_1,Nikon,10.21490255,Auto,1
88_1,Sony,19.51815235,Custom White;White Balance Presets,1
96_1,Canon,19.178631,Preset;Custom;Color Temperature Setting,1
101_1,Canon,20.43863873,Preset;Automatic,1
