entity,brand,num,condition,day
6_1,Nikon,26.10498612,Preset;Autos,1
13_1,,,,1
18_1,Canon,17.80193374,Daylight;Shade;Cloudy;Tungsten Light;White Fluorescent LightFlashCustomColor Temperature Setting,1
19_1,Nikon,26.81607815,Preset;Auto,1
23_1,Canon,18.42878059,Preset;User Defined;Color Temperature Setting;White Balance Correction and White Balance Bracketing;Available Auto,1
41_1,Nikon,26.43102536,Auto,1
44_1,Nikon,26.97124798,Preset;Auto,1
48_1,,,,1
570_1,,,,1
58_1,,,,1
65_1,,,,1
67_1,,,,1
69_1,,,,1
70_1,,,,1
75_1,Nikon,16.43193967,incandescent;fluorescent;direct sunlight;flash;cloudy;preset manual white balance;color temperature selection;Auto,1
76_1,,,,1
83_1,Nikon,10.48332467,Autos,1
88_1,,,,1
96_1,Canon,21.21603705,preset;user-define;color temperature setting;With flash color temperature information transmission;Auto,1
101_1,Canon,23.54608579,Preset;Color Temperature Setting;White Balance Correction and White Balance Bracketing;Auto,1
