6_1,5,Nikon,108,24.39181204,Preset;Auto,1,1
13_1,5,,,,,,
18_1,5,,,,,,
19_1,5,Nikon,52,26.39369653,Preset,1,-1
23_1,5,Canon,390,20.5152103,Preset;User Defined;Color Temperature Setting;White Balance Correction and White Balance Bracketing,1,-1
41_1,5,,,,,,
44_1,5,Nikon,667,26.13044921,Preset;Auto,1,1
48_1,5,,,,,,
570_1,5,,,,,,
58_1,5,,,,,,
65_1,5,,,,,,
67_1,5,,,,,,
69_1,5,,,,,,
70_1,5,,,,,,
75_1,5,Nikon,335,16.8165155,incandescent;fluorescent;direct sunlight;flash;cloudy;shade;preset manual white balance;color temperature selection;Auto,1,1
76_1,5,,,,,,
83_1,5,,,,,,
88_1,5,,,,,,
96_1,5,Canon,549,22.30337037,preset;user-defined;color temperature setting;with white balance correction and white balance bracketing functions;With flash color temperature information transmission;Auto,1,1
101_1,5,Canon,470,25.09430782,Preset;User Defined;Color Temperature Setting;White Balance Correction and White Balance Bracketing;Auto,1,1
