6_1,2,Nikon,1721,22.07789275,Flash;Fluorescent;Cloudy,1,1
13_1,2,Nikon,899,17.4810534,Daylight;Sunny;Fine;Flash;Fluorescent;Incandescent;Shade;Sunlight;Tungsten;Cloudy,1,1
18_1,2,Canon,1065,18.39080655,Daylight;Sunny;Flash;Fluorescent;Halogen;Incandescent;Shade;Tungsten;Cloud,1,-1
19_1,2,Nikon,1677,22.07742669,Flash;Fluorescent,1,-1
23_1,2,Canon,1317,17.39314156,Daylight;Sunny;Fine;Flash;Fluorescent;Shade;Tungsten;Underwater;Cloudy,1,1
41_1,2,Nikon,1003,23.64172126,Flash;Fluorescent;Incandescent;Shade;Sunlight;Sunny;Tungsten;Cloudy,1,1
44_1,2,Nikon,950,24.18269001,Cloudy;Flash;Fluorescent;Incandescent;Shade;Sunlight;Sunny;Tungsten,1,-1
48_1,2,Canon,665,12.44340008,Daylight;Sunny;Flash;Fluorescent;Tungsten;Cloudy,1,1
570_1,2,Nikon,929,34.07620968,Daylight;Sunny;Flash;Fluorescent;Incandescent;Shade;Tungsten;Cloudy,1,1
58_1,2,Nikon,1450,10.67276466,Cloudy;Daylight;Sunny;Flash;Fluorescent;Incandescent;Shade;Sunlight;Sunny;Tungsten;Artificial,1,1
65_1,2,Fujifilm,1107,14.77601053,Sunny;Shade,1,-1
67_1,2,Canon,1352,14.85500566,Cloudy;Daylight;Sunny;Fluorescent;Artificial,1,-1
69_1,2,Sony,1458,32.97253955,Daylight;Sunny;Shade;Underwater;Cloud,1,-1
70_1,2,Panasonic,916,13.06127191,Daylight;Sunny;Incandescent;Shade;Cloudy,1,1
75_1,2,Nikon,1284,17.06378901,Daylight;Sunny;Fine;Flash;Fluorescent;Incandescent;Indoor;Shade;Sunlight;Tungsten;Cloudy,1,1
76_1,2,Nikon,1138,24.42504462,Sunlightly,1,-1
83_1,2,,,,,,
88_1,2,Sony,1569,18.71933265,Daylight;flash;Cloudy,1,-1
96_1,2,Canon,1411,18.76776583,Daylight;Sunny;Flash;Fluorescent;Tungsten;Cloudy,1,1
101_1,2,Canon,1662,21.8385981,Cloudy;Daylight;Sunny;Flash;Fluorescent;Shade;Tungsten;Artificial,1,1
