entity,screen_type,supported_aspect_ratio,response_time(ms),screen_size_diagonal,day
18.561136894932577,LCD Monitor,5:04,4.218440203393768,100.00,0.8436880406787534
21.092201016968833,LCD Monitor,16:10,3.3704811105211427,100.00,0.6740962221042286
22.779577098326346,LCD Monitor,16:09,4.218440203393768,100.00,0.8436880406787534
23.6232651390051,LCD Monitor,16:09,3.377594834655893,100.00,0.6755189669311786
26.998017301720107,LCD Monitor,16:09,4.218440203393768,100.00,0.8436880406787534
27.84170534239886,LCD Monitor,16:09,2.1822671547268735,100.00,0.8436880406787534
32.90383358647138,LCD Monitor,16:09,3.97086076348751,100.00,0.8436880406787534
33.74752162715014,LCD Monitor,16:09,3.377594834655893,100.00,0.6755189669311786
34.59120966782889,LCD Monitor,16:09,4.218440203393768,100.00,0.8436880406787534
52.308658522082716,LCD Monitor,16:10,11.81163256950255,100.00,0.8436880406787534
74.24454757973031,LCD Monitor,16:09,1.6873760813575067,100.00,0.8436880406787534
86.89986818991159,LCD Monitor,16:09,4.218440203393768,100.00,0.8436880406787534
107.99206920688043,LCD Monitor,16:10,6,100.00,1
111.36682136959544,LCD Monitor,21:09,4.218440203393768,100.00,0.8436880406787534
112.2105094102742,LCD Monitor,16:09,6.749504325430027,100.00,0.8436880406787534
141.73959083403057,LCD Monitor,16:09,1.6873760813575067,100.00,0.8436880406787534
144.27065495606683,LCD Monitor,16:09,2,100.00,1
156.92597556624813,LCD Monitor,16:10,4.218440203393768,100.00,0.8436880406787534
160.30072772896315,LCD Monitor,16:09,4.218440203393768,100.00,0.8436880406787534
162.8317918509994,LCD Monitor,16:09,3.377594834655893,100.00,0.6755189669311786
