entity,screen_type,supported_aspect_ratio,response_time(ms),screen_size_diagonal,day
22.0,LCD Monitor,5:04,5.0,100.00,1.0
25.0,LCD Monitor,16:10,4.166666666666667,100.00,0.8333333333333334
27.0,LCD Monitor,16:09,5.0,100.00,1.0
28.0,LCD Monitor,16:09,4.166666666666667,100.00,0.8333333333333334
32.0,LCD Monitor,16:09,5.0,100.00,1.0
33.0,LCD Monitor,16:09,2.3333333333333335,100.00,1.0
39.0,LCD Monitor,16:09,4.75,100.00,1.0
40.0,LCD Monitor,16:09,4.166666666666667,100.00,0.8333333333333334
41.0,LCD Monitor,16:09,5.0,100.00,1.0
62.0,LCD Monitor,16:10,14.0,100.00,1.0
88.0,LCD Monitor,16:09,2.0,100.00,1.0
103.0,LCD Monitor,16:09,5.0,100.00,1.0
128.0,LCD Monitor,16:10,6,100.00,1
132.0,LCD Monitor,21:09,5.0,100.00,1.0
133.0,LCD Monitor,16:09,8.0,100.00,1.0
168.0,LCD Monitor,16:09,2.0,100.00,1.0
171.0,LCD Monitor,16:09,2,100.00,1
186.0,LCD Monitor,16:10,5.0,100.00,1.0
190.0,LCD Monitor,16:09,5.0,100.00,1.0
193.0,LCD Monitor,16:09,4.166666666666667,100.00,0.8333333333333334
