4,11,7155,8512,47,842725,7355,5147,3623,4719
27,361,9167,8555,627,2170000,4367,2422,267,4727
29,258,7428,8556,430,,7911,2304,83,113
37,617,9852,259,277,14150000,7913,7711,3528,143
38,159,6185,6773,538,1010000,2507,7712,6945,146
48,474,8624,6705,203,289716,7916,7715,6512,183
76,258,3303,655,430,9120000,6038,5665,5420,292
79,184,2907,4193,104,33730000,4559,1751,5178,303
88,31,8995,3919,124,1630000,6049,5987,6953,4743
100,266,668,3027,183,1790000,1082,2134,6955,398
102,322,7152,3795,116,4480000,5671,5901,6957,406
110,337,11033,7227,572,4050000,4748,6965,6959,439
112,61,9237,5082,9,1528464,7926,5068,3000,444
121,41,11825,8568,463,1460000,6309,7722,6960,477
123,435,7664,8569,198,1622188,2804,1477,6962,484
148,454,2562,4126,74,1953908,2712,5762,440,569
152,228,127,4427,369,578201,6217,2454,6972,342
168,208,11840,8578,1360,,7933,7729,6977,6197
171,509,2772,4752,34,5000000,4083,6868,3310,3638
177,356,865,3344,397,3710896,1088,2801,1333,674
279,247,8222,2308,510,329218,6789,7375,6855,4812
290,485,11870,4435,27,962566,7948,7759,7011,1067
291,924,6312,6115,933,3720000,7949,7760,7012,1070
462,314,3109,3039,277,1660000,5692,5134,5885,1629
470,198,11330,1774,103,3550000,806,6364,7047,1657
502,129,1953,6382,131,2230000,6064,7769,7054,8153
556,748,3209,5944,380,3160000,1074,3347,5264,1923
562,217,4306,4147,141,4785854,5672,6814,5601,1942
632,63,11956,8652,1274,3320000,8004,7815,7079,7614
776,314,6456,4907,66,3540000,403,1911,165,2607
792,132,9851,6258,744,1104821,6240,3290,6584,2655
803,481,11995,8680,431,1080000,8023,7842,7111,7401
825,294,7137,4304,277,3320000,5636,1579,5814,4984
835,291,2611,4337,50,13470000,3285,2382,31,797
849,135,6886,5118,56,8400000,3459,3166,6452,2828
877,480,846,7,33,12020000,538,5118,632,2902
960,247,12039,8703,270,10020000,8051,7867,7142,3154
