entity_id,image_resolution,screen_size,brand
ENTITY#101,22.3 MP,3.2\,Canon EOS 5D Mark III kit 24-105mm
ENTITY#13,16.2 MP,3.2\,Nikon
ENTITY#18,18 MP,3 Inches,Canon
ENTITY#19,24.4,3 Inches,Nikon
ENTITY#21,16.2 MP,3,Nikon
ENTITY#23,18 MP,3,Canon
ENTITY#34,16,3,Canon
ENTITY#41,24.1 MP,3\,Nikon
ENTITY#44,24.2 MP,3,Nikon
ENTITY#45,16.0 MP,3\,Canon
ENTITY#48,12.1 MP,2.8,Canon
ENTITY#53,10.1 MP,3\,Nikon
ENTITY#57,36.3 MP,3.2\,Nikon
ENTITY#570,36.3 MP,3.2\,Nikon
ENTITY#59,20.1 MP,3\,Nikon
ENTITY#6,24.4,3.2,Nikon
ENTITY#64,12.1 MP,3\,Canon
ENTITY#67,16 MP,2.7,Canon
ENTITY#7,16.1 MP,3\,Olympus
ENTITY#72,36.3 MP,3.2\,Nikon
ENTITY#73,16 MP,3 Inches,Nikon
ENTITY#75,16.2 MP,3\,Nikon
ENTITY#76,24.3 MP,3.2 Inches,Nikon
ENTITY#80,12.0 MP,2.8\,Fujifilm
ENTITY#81,14.0 MP,3,Fujifilm SL300
ENTITY#87,12.2 MP,3\,Nikon
ENTITY#91,10.1,3 Inches,Panasonic
ENTITY#96,20.2 MP,3\,Canon
