entity_id,website,number,image_resolution,screen_size,brand
ENTITY#101,www.gosale.com,943,22.3,3.2000000000000006,BVI
ENTITY#13,www.gosale.com,849,16.2,3.2000000000000006,Nikon
ENTITY#18,www.gosale.com,1182,18 MP,3 inches,Canon
ENTITY#19,www.gosale.com,1312,24.400000000000002,3.0,Nikon
ENTITY#21,www.gosale.com,407,16.2 MP,3.0,Nikon
ENTITY#23,www.gosale.com,785,18 MP,3 inches,Canon
ENTITY#34,www.gosale.com,877,16.0,3.0,Canon
ENTITY#41,www.gosale.com,832,24.3,3.0,Nikon
ENTITY#44,www.gosale.com,848,24.2,3.0,Nikon
ENTITY#45,www.gosale.com,813,16.0,3.0,Canon
ENTITY#48,www.gosale.com,1276,12.1,2.7999999999999994,Canon
ENTITY#53,www.gosale.com,592,10.733333333333334,3.0,Nikon
ENTITY#57,www.gosale.com,555,36.474999999999994,3.2000000000000006,Nikon
ENTITY#570,www.gosale.com,1175,36.53333333333333,3.2000000000000006,Nikon
ENTITY#59,www.gosale.com,1484,20.066666666666666,3.0666666666666664,Nikon
ENTITY#6,www.gosale.com,1244,24.400000000000002,3.2000000000000006,Nikon
ENTITY#64,www.gosale.com,853,12.1 MP,3.0,Canon
ENTITY#67,www.gosale.com,1314,16.0,2.7000000000000006,Canon
ENTITY#7,www.gosale.com,544,16.366666666666667,3.0,Olympus
ENTITY#72,www.gosale.com,1245,36.53333333333333,3.2000000000000006,Nikon
ENTITY#73,www.gosale.com,874,16.05,3.0,Nikon
ENTITY#75,www.gosale.com,1066,16.2 MP,3.0,Nikon
ENTITY#76,www.gosale.com,987,24.224999999999998,3.2000000000000006,Nikon
ENTITY#80,www.gosale.com,470,12.0,2.7999999999999994,Fuji Photo Film
ENTITY#81,www.gosale.com,729,14.0,3.0,Fuji Photo Film
ENTITY#87,www.gosale.com,611,12.133333333333333,3.0,Nikon
ENTITY#91,www.gosale.com,1213,10.1,3.0,Panasonic
ENTITY#96,www.gosale.com,960,20.133333333333336,3.0,Canon
