entity_id,website,number,image_resolution,screen_size,brand
ENTITY#101,www.pricedekho.com,1000,22.3 MP,3.2 Inches,Canon EOS 5D Mark III kit 24-105mm
ENTITY#13,www.pricedekho.com,1054,16.2 MP,3.2 Inches,Nikon
ENTITY#18,www.pricedekho.com,1033,18 MP,3 Inches,Canon
ENTITY#19,www.pricedekho.com,1225,24.400000000000002,3 Inches,Nikon
ENTITY#21,www.pricedekho.com,1238,NA,3 Inches,Nikon
ENTITY#23,www.pricedekho.com,1232,18.0,3 Inches,Canon
ENTITY#34,www.pricedekho.com,1196,NA,3 Inches,Canon
ENTITY#41,www.pricedekho.com,1277,24.3,3 Inches,Nikon
ENTITY#44,www.pricedekho.com,983,24.2 MP,3 Inches,Nikon
ENTITY#45,www.pricedekho.com,1038,16 MP,3 Inches,Canon
ENTITY#48,www.pricedekho.com,750,NA,2.8 Inches,Canon
ENTITY#53,www.pricedekho.com,1148,10.733333333333334,3 Inches,Nikon
ENTITY#57,www.pricedekho.com,1022,36.3 MP,3.2 Inche,Nikon
ENTITY#570,www.pricedekho.com,1197,36.53333333333333,3.2 Inches,Nikon
ENTITY#59,www.pricedekho.com,1093,NA,3 Inches,Nikon
ENTITY#6,www.pricedekho.com,1233,NA,3.2 Inches,Nikon
ENTITY#64,www.pricedekho.com,1152,12.075000000000001,3 Inches,Canon
ENTITY#67,www.pricedekho.com,1083,16 MP,2.7 Inches,Canon
ENTITY#7,www.pricedekho.com,820,16.366666666666667,3 Inches,Olympus
ENTITY#72,www.pricedekho.com,738,36.53333333333333,3.2 Inches,Nikon
ENTITY#73,www.pricedekho.com,1016,16 MP,3 Inches,Nikon
ENTITY#75,www.pricedekho.com,1230,NA,3 Inches,Nikon
ENTITY#76,www.pricedekho.com,967,24.3 MP,3.2 Inches,Nikon
ENTITY#80,www.pricedekho.com,961,12 MP,2.8 Inches,Fujifilm
ENTITY#81,www.pricedekho.com,1088,14 MP,3 Inche,Fujifilm SL300
ENTITY#87,www.pricedekho.com,1255,12.133333333333333,3 Inches,Nikon
ENTITY#91,www.pricedekho.com,752,10.1,3 Inches,Panasonic
ENTITY#96,www.pricedekho.com,771,20.133333333333336,3 Inches,Canon
