entity,screen_type,supported_aspect_ratio,response_time(ms),screen_size_diagonal,day
22,LCD,5:04,5,48.3,1
25,LCD,16:10,5,55.9,1
27,LED,16:09,5,54.6,1
28,LED,16:09,5,54.6,1
32,LED,16:09,5,61,1
33,TN+Film,16:09,5,61,1
39,LED,16:09,3.5,68.6,1
40,LCD/TFT,16:09,5,68.6,1
41,LCD/TFT,16:09,5,68.6,1
62,IPS,16:10,14,61,1
88,TN+Film,16:09,2,60.96,1
103,LED,16:09,5,49.53,1
128,,,,,
132,IPS,16:09,5,73.025,1
133,IGZO,16:09,8,80.1,1
168,LCD,16:09,2,68.58,1
171,,,,,
186,TN+Film,16:10,5,55.9,1
190,IPS,16:09,5,68.6,1
193,IPS,16:09,5,58.42,1
