entity,domain
4,673214
27,2297174
29,12023832
37,13393978
38,1659007
48,515653
76,6180877
79,56439850
88,2925150
100,1375405
102,4864130
110,8691300
112,1340209
121,815785
123,2066222
148,1690668
152,1247441
168,3983024
171,6411349
177,4096256
181,1732597
201,3734101
205,35313186
209,49542848
214,2149063
216,1559930
240,1514153
267,2308385
279,388870
290,1966431
291,1424057
295,1127164
322,977948
325,2070701
359,15444615
362,3591900
383,1123794
407,1056852
423,1173896
462,1515571
464,2788872
466,967073
470,4100123
500,716376
502,1107067
507,4765904
516,1981039
529,2210932
546,1646943
549,11599953
554,25186099
555,933538
556,5219312
562,3153505
580,6114143
591,6748327
627,12766235
632,3976982
641,13641530
643,3826059
670,30553411
671,948001
696,12836077
700,3265839
707,2950193
748,2210228
759,2452333
760,14764168
768,841201
776,2108069
792,1454878
803,2566907
806,228389
813,1729013
825,3571047
829,3681634
835,5375998
838,6379373
848,2180064
849,3428256
861,15261155
863,9687961
877,11567978
888,4992044
895,1668957
913,3333884
922,4003724
940,1642570
949,6375108
959,3333306
960,7195721
968,5717657
970,10784810
976,1056307
980,8986009
981,1276581
984,2247843
988,1124828
989,12828347
998,413548
