entity,domain
4,582930
27,1856117
29,11294699
37,12234549
38,1353706
48,429699
76,5496268
79,53907113
88,2555475
100,1092692
102,4469324
110,8216599
112,1260005
121,718600
123,1839298
148,1629116
152,1028715
168,3762855
171,5380309
177,4040325
181,1590978
201,2798191
205,34117938
209,48608797
214,1916042
216,1300448
240,1282750
267,2115663
279,361795
290,1753113
291,1293351
295,1034781
322,890449
325,1592073
359,14545931
362,3190596
383,1036957
407,929901
423,1134129
462,1266210
464,2561818
466,713980
470,2850221
500,584782
502,1007073
507,4414728
516,1870569
529,1900254
546,1468779
549,10182303
554,21514309
555,871046
556,4025107
562,2820851
580,5389991
591,6186841
627,11555106
632,3318712
641,11560783
643,3764583
670,28922738
671,854300
696,11399680
700,2538843
707,2285374
748,1962475
759,2166855
760,12128733
768,710899
776,1795991
792,1369107
803,2503115
806,207270
813,1498297
825,3083854
829,3093169
835,4845596
838,5079854
848,1552498
849,2922290
861,14494749
863,9084532
877,9075377
888,4513835
895,1344177
913,3172013
922,3708229
940,1555686
949,5784745
959,3092852
960,6832350
968,4921622
970,9997886
976,970839
980,8261498
981,1243776
984,2016100
988,954446
989,11511812
998,379596
