entity,domain
4,675863
27,2300895
29,12048252
37,13498736
38,1660409
48,516602
76,6205464
79,56495137
88,2933422
100,1424522
102,4875345
110,8706101
112,1346109
121,819109
123,2085463
148,1700468
152,1261141
168,3984296
171,6422336
177,4673482
181,1736983
201,3756676
205,35470586
209,49704484
214,2155355
216,1599629
240,1522973
267,2312138
279,398715
290,1969041
291,1427326
295,1136464
322,979392
325,2076990
359,15454225
362,3606785
383,1124453
407,1058409
423,1186221
462,1533927
464,2794623
466,971143
470,4109935
500,735553
502,1129076
507,4898013
516,1985820
529,2215924
546,1710240
549,11624501
554,25275531
555,937816
556,5227363
562,3177246
580,6155507
591,6795680
627,12775795
632,3979380
641,13704364
643,3871584
670,30597467
671,949101
696,13034072
700,3268565
707,2951543
748,2222697
759,2460853
760,14764168
768,841901
776,2112553
792,1482775
803,2571900
806,228798
813,1734220
825,3761740
829,3690022
835,5383838
838,6380973
848,2185264
849,3429156
861,15354597
863,9693375
877,11622336
888,5004397
895,1669457
913,3349171
922,4006925
940,1659411
949,6387831
959,3343824
960,7199156
968,5731646
970,10832590
976,1056972
980,9036837
981,1334824
984,2268000
988,1130160
989,12902982
998,415302
