entity,domain
4,673214
27,2089632
29,11892151
37,13345474
38,1573469
48,515653
76,6127578
79,47990266
88,2705199
100,1249947
102,4864130
110,8636302
112,1332440
121,794618
123,1995314
148,1597443
152,1247441
168,3977265
171,6411049
177,3878789
181,1728453
201,3243565
205,35106383
209,48588326
214,2019712
216,1446602
240,1360277
267,2307785
279,359725
290,1938061
291,1393567
295,1114417
322,955085
325,2052298
359,14561806
362,3565260
383,1089785
407,1005684
423,1119561
462,1498029
464,2718740
466,841849
470,3281666
500,711735
502,1105855
507,4642332
516,1938770
529,2197833
546,1633304
549,11529257
554,24852592
555,926991
556,4577397
562,2624625
580,6056646
591,6745207
627,12673960
632,3740820
641,13494738
643,3323148
670,30389909
671,804944
696,12833482
700,2902191
707,2638997
748,2208250
759,2130097
760,13393231
768,745065
776,2016384
792,1454378
803,2566501
806,226094
813,1718634
825,3568481
829,3680934
835,5368298
838,5776863
848,1865183
849,3027560
861,15249328
863,9671189
877,10192131
888,4698724
895,1469770
913,3333552
922,4003724
940,1642570
949,6044082
959,3328038
960,6954342
968,5553392
970,10784810
976,1050440
980,8983677
981,1276581
984,2230043
988,1115282
989,12776548
998,412648
