entity,domain
4,668438
27,2299000
29,11986000
37,13386000
38,1655000
48,515144
76,6185000
79,56245000
88,2885000
100,1383000
102,4853000
110,8646000
112,1338000
121,811501
123,2011000
148,1600000
152,1252000
168,3980000
171,6415000
177,4471000
181,1734000
201,3753000
205,35198000
209,49014000
214,2154000
216,1561000
240,1500000
267,2311000
279,388870
290,1962000
291,1419000
295,1119000
322,974852
325,2055000
359,15433000
362,3585000
383,1122000
407,1056000
423,1172000
462,1517000
464,2792000
466,966673
470,4104000
500,714744
502,1064000
507,4689000
516,1983000
529,2205000
546,1648000
549,11599000
554,25039000
555,928123
556,5214000
562,3173000
580,6125000
591,6780000
627,12773000
632,3978000
641,13631000
643,3852000
670,30536000
671,946790
696,12861000
700,3254000
707,2948000
748,2212000
759,2453000
760,14706000
768,838462
776,2109000
792,1458000
803,2565000
806,227649
813,1730000
825,3748000
829,3681000
835,5373000
838,6365000
848,2184000
849,3429000
861,15297000
863,9689000
877,11614000
888,4993000
895,1659000
913,3275000
922,4002000
940,1634000
949,6379000
959,3342000
960,7198000
968,5720000
970,10802000
976,1054000
980,8813000
981,1276000
984,2238000
988,1119000
989,12834000
998,411302
