entity,domain
4,624505
27,2153148
29,11880057
37,12479156
38,1473159
48,498518
76,5753283
79,60216421
88,2904525
100,1100698
102,4751923
110,8443880
112,1311045
121,788453
123,1926795
148,1725739
152,1278668
168,3791557
171,5413497
177,4395038
181,1695424
201,3491388
205,35563449
209,52906935
214,2048539
216,1403671
240,1425501
267,2181175
279,380787
290,1834891
291,1321614
295,1062577
322,943581
325,1595832
359,15667344
362,3312145
383,1079747
407,994589
423,1161729
462,1404540
464,2625361
466,787088
470,3977040
500,630939
502,1081974
507,4516337
516,1989260
529,2002280
546,1510757
549,10753636
554,23436019
555,909089
556,4984206
562,3015114
580,5693946
591,6519114
627,11964439
632,3688693
641,11652974
643,4085076
670,29056377
671,932931
696,12043675
700,2978967
707,2430654
748,2116656
759,2379557
760,13502959
768,847639
776,1881146
792,1430616
803,2537517
806,221248
813,1595590
825,3410046
829,3351002
835,5291883
838,6047383
848,2081820
849,3462758
861,15149487
863,9263697
877,10997630
888,4916665
895,1652889
913,3342784
922,3772706
940,1614083
949,6330121
959,3247302
960,7024304
968,5371439
970,10035055
976,973325
980,8434193
981,1294103
984,2120608
988,1047470
989,11909197
998,407874
