entity,domain
4,10431
27,61248
29,136213
37,138256
38,41323
48,5361
76,52526
79,815499
88,48136
100,46525
102,21439
110,69142
112,23370
121,24129
123,83680
148,3915
152,8700
168,8893
171,33880
177,211071
181,4338
201,105735
205,338390
209,556109
214,19862
216,44102
240,52081
267,1153
279,10254
290,25559
291,8766
295,14235
322,6866
325,15920
359,92791
362,26749
383,3079
407,5767
423,13594
462,32531
464,2433
466,15039
470,167158
500,21009
502,10683
507,160589
516,16237
529,10495
546,61903
549,61420
554,290293
555,18895
556,69009
562,48833
580,52692
591,47866
627,6985
632,16699
641,161350
643,22496
670,118265
671,6341
696,231149
700,62383
707,18687
748,16164
759,42270
760,80268
768,3939
776,7567
792,28221
803,7666
806,3619
813,4538
825,98733
829,74006
835,25814
838,93079
848,65497
849,90194
861,27490
863,6110
877,33078
888,19768
895,32011
913,76290
922,5400
940,28573
949,56331
959,1618
960,8524
968,8289
970,153012
976,6543
980,263664
981,57420
984,31588
988,6080
989,88065
998,5681
