entity,domain
4,11480
27,61148
29,145015
37,139256
38,41323
48,5361
76,52526
79,815699
88,48136
100,49721
102,21439
110,76194
112,23370
121,24653
123,83810
148,3915
152,8700
168,8793
171,33880
177,223031
181,4338
201,105735
205,336014
209,556109
214,19862
216,44102
240,52081
267,1153
279,10554
290,25559
291,8766
295,14235
322,6866
325,15310
359,91691
362,24481
383,3079
407,5767
423,13494
462,32531
464,2433
466,15039
470,169658
500,21009
502,9887
507,158889
516,9498
529,18823
546,67820
549,61420
554,290847
555,18895
556,68421
562,45233
580,62292
591,44746
627,6945
632,16179
641,159994
643,22496
670,118265
671,6341
696,266962
700,62383
707,18687
748,15266
759,42270
760,80268
768,3939
776,7567
792,25759
803,7260
806,3619
813,4538
825,89970
829,74006
835,26014
838,93079
848,65497
849,89794
861,20243
863,13208
877,33078
888,19368
895,31811
913,76290
922,5400
940,24873
949,56331
959,1618
960,8524
968,9560
970,162114
976,6543
980,255344
981,99970
984,32388
988,5980
989,88065
998,6311
