entity,domain
4,673614
27,2300795
29,10508996
37,13396378
38,1658448
48,516044
76,6187177
79,46771077
88,2930250
100,1383356
102,4615242
110,8698325
112,1345609
121,816385
123,2069949
148,1505148
152,1253241
168,3927082
171,6416272
177,4475101
181,1583241
201,2959231
205,29993796
209,41347340
214,2153733
216,1561430
240,1499342
267,2098356
279,314133
290,1967331
291,1370855
295,973555
322,978948
325,1687399
359,14396804
362,3183997
383,1122874
407,1056852
423,1035146
462,1518071
464,2633799
466,969787
470,3426300
500,717087
502,992550
507,4697954
516,1648282
529,2211845
546,1652343
549,11607337
554,25214864
555,934370
556,4704951
562,2471873
580,6131425
591,5782573
627,12773788
632,3603244
641,13632889
643,3112025
670,27707574
671,785163
696,9014703
700,3254543
707,2431596
748,1879365
759,1986289
760,13023991
768,787302
776,2109369
792,1367189
803,2568701
806,199778
813,1731795
825,3748527
829,3682528
835,5382998
838,5555220
848,2183796
849,2831317
861,14115691
863,9015569
877,10041782
888,4748149
895,1512384
913,3275164
922,4004825
940,1642876
949,6387020
959,3339320
960,7082891
968,5720157
970,9609875
976,922205
980,8991685
981,1194856
984,2251336
988,1128228
989,12845125
998,411702
