entity,domain
4,668338
27,2299243
29,11986084
37,13385898
38,1654906
48,515144
76,6184749
79,56245111
88,2885123
100,1383356
102,4853008
110,8645727
112,1338340
121,811501
123,2010603
148,1699222
152,1252341
168,3980112
171,6414984
177,4470564
181,1734459
201,3753220
205,35197567
209,49013680
214,2153733
216,1561330
240,1499542
267,2310885
279,388870
290,1962078
291,1418960
295,1119417
322,974852
325,2055298
359,15433187
362,3584675
383,1122374
407,1055597
423,1171689
462,1517071
464,2792190
466,966673
470,4103986
500,714744
502,1112961
507,4688955
516,1983039
529,2204727
546,1647833
549,11599300
554,25038902
555,928123
556,5214416
562,3173246
580,6124863
591,6780357
627,12773426
632,3977853
641,13631422
643,3851844
670,30536186
671,946790
696,12861066
700,3254443
707,2947684
748,2211595
759,2453034
760,14711068
768,838462
776,2109233
792,1457758
803,2565440
806,227649
813,1729795
825,3748066
829,3680826
835,5373286
838,6364597
848,2183596
849,3428756
861,15297153
863,9688557
877,11614232
888,4992911
895,1659275
913,3275164
922,4001625
940,1634244
949,6379006
959,3342206
960,7197871
968,5720057
970,10801715
976,1054309
980,8812703
981,1275729
984,2238479
988,1123480
989,12834161
998,411302
