entity,domain
4,673614
27,2299243
29,12028798
37,13396378
38,1658448
48,516044
76,6185677
79,56245111
88,2895957
100,1383356
102,4867103
110,8699525
112,1338964
121,816385
123,2070249
148,1699768
152,1253241
168,3983324
171,6416272
177,4476181
181,1735771
201,3753220
205,35364863
209,49590671
214,2153733
216,1561430
240,1521053
267,2310985
279,388970
290,1967331
291,1420778
295,1127164
322,978948
325,2055298
359,15436910
362,3584875
383,1123894
407,1056652
423,1173996
462,1518071
464,2793372
466,971143
470,4104122
500,717087
502,1122855
507,4768094
516,1983039
529,2211845
546,1652343
549,11599300
554,25214864
555,928123
556,5214516
562,3173246
580,6131425
591,6781157
627,12773788
632,3978362
641,13631822
643,3854644
670,30554681
671,946790
696,12861466
700,3254543
707,2947684
748,2211950
759,2453034
760,13662218
768,841901
776,2109369
792,1458378
803,2568701
806,228389
813,1731795
825,3748527
829,3680826
835,5382998
838,6364697
848,2185064
849,3428756
861,15315956
863,9688961
877,11614232
888,4992911
895,1659275
913,3343521
922,4004825
940,1642876
949,6379966
959,3342206
960,7197871
968,5720157
970,10818730
976,1056407
980,8991685
981,1277481
984,2251336
988,1128228
989,12845125
998,414172
