entity,domain
4,671219
27,2299243
29,12028798
37,13385898
38,1659207
48,515144
76,6187177
79,56483111
88,2885123
100,1383356
102,4859046
110,8698325
112,1345909
121,814210
123,2069949
148,1699466
152,1253241
168,3983424
171,6416272
177,4476181
181,1735871
201,3753220
205,35364863
209,49013680
214,2153733
216,1561330
240,1521553
267,2310885
279,388970
290,1962078
291,1420778
295,1127564
322,978829
325,2074211
359,15447286
362,3594065
383,1123894
407,1056277
423,1173996
462,1517071
464,2793472
466,969787
470,4104438
500,717087
502,1118557
507,4688955
516,1983039
529,2204727
546,1651643
549,11607337
554,25134284
555,928123
556,5226475
562,3177246
580,6134325
591,6781157
627,12773888
632,3978662
641,13649145
643,3868464
670,30554681
671,946790
696,12861466
700,3267485
707,2951214
748,2211595
759,2460442
760,14711068
768,841901
776,2109233
792,1458378
803,2565440
806,228489
813,1729795
825,3748066
829,3682528
835,5374798
838,6379380
848,2184340
849,3428756
861,15315956
863,9688557
877,11614432
888,4993611
895,1659275
913,3343521
922,4004825
940,1634244
949,6387831
959,3342206
960,7198371
968,5720057
970,10801715
976,1056407
980,8994917
981,1277681
984,2238479
988,1127467
989,12847586
998,414172
