entity,domain
4,673614
27,2300795
29,12028798
37,13396378
38,1658873
48,516044
76,6185677
79,56318085
88,2905050
100,1383356
102,4867103
110,8699525
112,1345609
121,816385
123,2070249
148,1699768
152,1253241
168,3983324
171,6416272
177,4476181
181,1735771
201,3756676
205,35359587
209,49590671
214,2153733
216,1561330
240,1521053
267,2310985
279,388970
290,1967331
291,1425728
295,1127164
322,978948
325,2055587
359,15447186
362,3587705
383,1122874
407,1056652
423,1173996
462,1517071
464,2793372
466,971143
470,3426300
500,717087
502,1122855
507,4768735
516,1983039
529,2211845
546,1652143
549,11607337
554,25214864
555,934370
556,5227063
562,3173446
580,6131425
591,6781157
627,12773788
632,3978662
641,13632889
643,3854644
670,30554681
671,949001
696,12861466
700,3268365
707,2951343
748,2211950
759,2460853
760,13682736
768,841901
776,2109369
792,1458378
803,2568701
806,228389
813,1729795
825,3748527
829,3682428
835,5382998
838,6380973
848,2185064
849,3150714
861,15315956
863,9688961
877,11614432
888,4762515
895,1669057
913,3343521
922,4004825
940,1642876
949,6387831
959,3342206
960,7198121
968,5720157
970,10818730
976,1056407
980,8991685
981,1277481
984,2251336
988,1128228
989,12847772
998,414172
