entity,domain
4,673214
27,2182662
29,12023122
37,13393978
38,1569205
48,515653
76,6180877
79,50320181
88,2925150
100,1375405
102,4864130
110,8690100
112,1287920
121,815785
123,2065922
148,1690668
152,1247441
168,3982724
171,6411049
177,4096256
181,1732597
201,3401923
205,35310810
209,49541028
214,2011358
216,1559930
240,1414463
267,2308385
279,388870
290,1966431
291,1424057
295,1126764
322,977948
325,1896847
359,15057417
362,3588740
383,1123794
407,1056852
423,1173796
462,1515571
464,2718498
466,896057
470,3590169
500,716376
502,1106271
507,4765904
516,1981039
529,2210932
546,1646943
549,10942466
554,25186099
555,887810
556,4851648
562,2855746
580,6114143
591,6745207
627,12766135
632,3865831
641,12884099
643,3826059
670,30553411
671,824362
696,12836077
700,3134406
707,2755058
748,2209330
759,2226677
760,14024668
768,787312
776,2108069
792,1454878
803,2566501
806,228289
813,1729013
825,3569631
829,3367906
835,5375898
838,6061751
848,1961654
849,3264300
861,15253908
863,9687961
877,10961276
888,4861357
895,1528763
913,3333884
922,4003724
940,1642570
949,6237314
959,3333306
960,7137874
968,5717657
970,10784810
976,1054925
980,8986009
981,1276581
984,2138880
988,1124828
989,12391090
998,412648
