entity,domain
4,675863
27,2300795
29,12048252
37,13498636
38,1660409
48,516602
76,6199376
79,56493136
88,2931822
100,1424522
102,4875345
110,8705701
112,1346109
121,819109
123,2085463
148,1700337
152,1261041
168,3984296
171,6420636
177,4671182
181,1736783
201,3756076
205,35457324
209,49697608
214,2155155
216,1599529
240,1519973
267,2312038
279,398715
290,1969041
291,1427326
295,1133764
322,979292
325,2076590
359,15453925
362,3606085
383,1124453
407,1058409
423,1186121
462,1533827
464,2794123
466,971043
470,4109335
500,735353
502,1129076
507,4898013
516,1985720
529,2214019
546,1709840
549,11631201
554,25267662
555,937816
556,5243005
562,3172253
580,6153707
591,6786600
627,12774795
632,3979380
641,13704364
643,3865484
670,30597068
671,949101
696,13034072
700,3268465
707,2951143
748,2222597
759,2460853
760,14762354
768,841801
776,2112453
792,1482675
803,2570500
806,228798
813,1734220
825,3759125
829,3689822
835,5379738
838,6379725
848,2182164
849,3429156
861,15350844
863,9693375
877,11617900
888,5003897
895,1669357
913,3348671
922,4014297
940,1659011
949,6385231
959,3343274
960,7199156
968,5731646
970,10832590
976,1056972
980,9036837
981,1334824
984,2266700
988,1129260
989,12897143
998,415302
