entity,domain
4,673614
27,2300795
29,12028798
37,13396278
38,1659407
48,516044
76,6181089
79,56480911
88,2928650
100,1383356
102,4867103
110,8699125
112,1345909
121,816385
123,2070249
148,1699637
152,1253141
168,3983324
171,6414572
177,4473881
181,1735671
201,3755876
205,35351601
209,49583793
214,2153533
216,1561330
240,1518553
267,2310885
279,388970
290,1967331
291,1425728
295,1124864
322,978848
325,2073101
359,15446986
362,3593365
383,1123894
407,1056852
423,1174096
462,1517971
464,2792972
466,971043
470,4106835
500,716887
502,1124067
507,4768735
516,1982939
529,2209940
546,1651943
549,11607337
554,25206995
555,934370
556,5225005
562,3172253
580,6134025
591,6775197
627,12772888
632,3978982
641,13649145
643,3862364
670,30554281
671,949101
696,12861466
700,3268265
707,2951143
748,2212930
759,2460853
760,14762354
768,841801
776,2109269
792,1458278
803,2567707
806,228489
813,1731795
825,3748478
829,3683028
835,5378898
838,6379725
848,2182164
849,3428756
861,15323730
863,9688961
877,11615896
888,5000037
895,1669157
913,3343021
922,4004825
940,1642476
949,6385231
959,3341656
960,7198371
968,5720157
970,10818730
976,1056407
980,8993917
981,1277481
984,2250036
988,1127428
989,12842033
998,414172
