entity,domain
4,674660
27,2300000
29,12040000
37,13400000
38,1660000
48,516500
76,6190000
79,56480000
88,2930000
100,1380000
102,4870000
110,8700000
112,1350000
121,818010
123,2080000
148,1700000
152,1250000
168,3980000
171,6420000
177,4480000
181,1740000
201,3750000
205,35360000
209,49590000
214,2150000
216,1560000
240,1520000
267,2310000
279,388970
290,1970000
291,1430000
295,1130000
322,978950
325,2070000
359,15440000
362,3590000
383,1120000
407,1060000
423,1170000
462,1520000
464,2790000
466,971140
470,4100000
500,717090
502,1120000
507,4770000
516,1980000
529,2210000
546,1650000
549,11610000
554,25210000
555,934370
556,5210000
562,3170000
580,6140000
591,6790000
627,12780000
632,3980000
641,13650000
643,3870000
670,30550000
671,949100
696,12860000
700,3250000
707,2950000
748,2220000
759,2450000
760,13660000
768,841900
776,2110000
792,1460000
803,2570000
806,228390
813,1730000
825,3750000
829,3680000
835,5380000
838,6360000
848,2190000
849,3430000
861,15330000
863,9690000
877,11610000
888,4990000
895,1660000
913,3350000
922,4010000
940,1640000
949,6380000
959,3340000
960,7200000
968,5730000
970,10830000
976,1060000
980,9030000
981,1330000
984,2250000
988,1130000
989,12850000
998,414800
