entity,domain
4,673614
27,2300000
29,12030000
37,13400000
38,1660000
48,516044
76,6190000
79,56480000
88,2930000
100,1380000
102,4870000
110,8700000
112,1350000
121,816385
123,2070000
148,1700000
152,1250000
168,3980000
171,6420000
177,4480000
181,1740000
201,3760000
205,35360000
209,49590000
214,2150000
216,1560000
240,1520000
267,2310000
279,388970
290,1970000
291,1430000
295,1130000
322,978948
325,2070000
359,15450000
362,3590000
383,1120000
407,1060000
423,1170000
462,1520000
464,2790000
466,971143
470,4110000
500,717087
502,1120000
507,4770000
516,1980000
529,2210000
546,1650000
549,11610000
554,25210000
555,934370
556,5230000
562,3180000
580,6140000
591,6780000
627,12770000
632,3980000
641,13650000
643,3870000
670,30550000
671,949101
696,12860000
700,3270000
707,2950000
748,2210000
759,2460000
760,14760000
768,841901
776,2110000
792,1460000
803,2570000
806,228489
813,1730000
825,3750000
829,3680000
835,5380000
838,6380000
848,2190000
849,3430000
861,15330000
863,9690000
877,11620000
888,5000000
895,1670000
913,3340000
922,4000000
940,1640000
949,6390000
959,3340000
960,7200000
968,5720000
970,10820000
976,1060000
980,8990000
981,1280000
984,2250000
988,1130000
989,12850000
998,414172
