source,entity,domain
1,4,674663
2,4,624505
3,4,668438
4,4,674663
5,4,674263
6,4,674263
7,4,674263
8,4,673214
9,4,673214
10,4,671219
11,4,673214
12,4,673614
13,4,673214
14,4,673214
15,4,673214
16,4,673614
17,4,673614
18,4,673614
19,4,675863
20,4,673614
21,4,673214
22,4,674263
23,4,582930
24,4,
25,4,
26,4,666800
27,4,11480
28,4,673214
29,4,673614
30,4,673614
31,4,673214
32,4,673214
33,4,678969
34,4,675863
35,4,673614
36,4,673614
37,4,673214
38,4,10431
39,4,594689
40,4,
41,4,674663
42,4,674263
43,4,674660
44,4,70847
45,4,
46,4,673214
47,4,673614
48,4,673614
49,4,673614
50,4,671563
51,4,668338
52,4,673214
53,4,673614
54,4,
55,4,
1,27,2300895
2,27,2153148
3,27,2299000
4,27,2300895
5,27,2297174
6,27,2297174
7,27,2297174
8,27,2297174
9,27,2297174
10,27,2299243
11,27,2182662
12,27,2300895
13,27,2297174
14,27,2297174
15,27,2297174
16,27,2300895
17,27,2294371
18,27,2300795
19,27,2300895
20,27,2300000
21,27,2297174
22,27,2297174
23,27,1856117
24,27,
25,27,
26,27,2283500
27,27,61148
28,27,2297174
29,27,2300000
30,27,2300895
31,27,2089632
32,27,2297174
33,27,2340378
34,27,2300795
35,27,2300895
36,27,2300895
37,27,2297174
38,27,61248
39,27,2045634
40,27,
41,27,2300895
42,27,2297174
43,27,2300000
44,27,146392
45,27,
46,27,2182662
47,27,2300795
48,27,2299243
49,27,2300795
50,27,2292775
51,27,2299243
52,27,2297074
53,27,2300795
54,27,
55,27,
1,29,12041657
2,29,11880057
3,29,11986000
4,29,11968775
5,29,12036691
6,29,12036691
7,29,12036691
8,29,12023832
9,29,12023832
10,29,12028798
11,29,12023122
12,29,12028798
13,29,12023832
14,29,12023832
15,29,12023832
16,29,12028798
17,29,12028088
18,29,10508996
19,29,12048252
20,29,12030000
21,29,12027489
22,29,12036391
23,29,11294699
24,29,
25,29,
26,29,12016700
27,29,145015
28,29,12023832
29,29,12030000
30,29,12028798
31,29,11892151
32,29,12023832
33,29,12080491
34,29,12048252
35,29,12028798
36,29,12028798
37,29,12023832
38,29,136213
39,29,10167787
40,29,
41,29,12041657
42,29,12036691
43,29,12040000
44,29,1505042
45,29,
46,29,12023122
47,29,12028798
48,29,12028798
49,29,12028798
50,29,11975522
51,29,11986084
52,29,12023832
53,29,12028798
54,29,
55,29,
1,37,13405219
2,37,12479156
3,37,13386000
4,37,13036144
5,37,13402819
6,37,13402819
7,37,13402819
8,37,13393978
9,37,13393978
10,37,13385898
11,37,13393978
12,37,13396378
13,37,13393978
14,37,13393978
15,37,13393978
16,37,13396378
17,37,13396278
18,37,13396378
19,37,13498736
20,37,13400000
21,37,13394978
22,37,13394978
23,37,12234549
24,37,
25,37,
26,37,13238800
27,37,139256
28,37,13393978
29,37,13400000
30,37,13396378
31,37,13345474
32,37,13393978
33,37,13515363
34,37,13498636
35,37,4833239
36,37,13396378
37,37,13393978
38,37,138256
39,37,0
40,37,
41,37,13405219
42,37,13402819
43,37,13400000
44,37,1539333
45,37,
46,37,13393978
47,37,13396278
48,37,13396378
49,37,13396378
50,37,13476000
51,37,13385898
52,37,13393978
53,37,13396278
54,37,
55,37,
1,38,1659407
2,38,1473159
3,38,1655000
4,38,1659407
5,38,1659007
6,38,1659007
7,38,1659007
8,38,1659007
9,38,1659007
10,38,1659207
11,38,1569205
12,38,1659407
13,38,1659007
14,38,1659007
15,38,1659007
16,38,1659407
17,38,1659407
18,38,1658448
19,38,1660409
20,38,1660000
21,38,1659007
22,38,1659007
23,38,1353706
24,38,
25,38,
26,38,1641200
27,38,41323
28,38,1659007
29,38,1660000
30,38,1659407
31,38,1573469
32,38,1659007
33,38,1680968
34,38,1660409
35,38,1659407
36,38,1659407
37,38,1659007
38,38,41323
39,38,0
40,38,
41,38,1659407
42,38,1659007
43,38,1660000
44,38,218898
45,38,
46,38,1569205
47,38,1659407
48,38,1658448
49,38,1658873
50,38,1657009
51,38,1654906
52,38,1659007
53,38,1659407
54,38,
55,38,
1,48,516502
2,48,498518
3,48,515144
4,48,516502
5,48,516111
6,48,516111
7,48,516111
8,48,515653
9,48,515653
10,48,515144
11,48,515653
12,48,516044
13,48,515653
14,48,515653
15,48,515653
16,48,516044
17,48,516044
18,48,516044
19,48,516602
20,48,516044
21,48,516111
22,48,516111
23,48,429699
24,48,
25,48,
26,48,509900
27,48,5361
28,48,515653
29,48,516044
30,48,516044
31,48,515653
32,48,515653
33,48,518903
34,48,516602
35,48,516044
36,48,516044
37,48,515653
38,48,5361
39,48,452831
40,48,
41,48,516502
42,48,516111
43,48,516500
44,48,41983
45,48,
46,48,515653
47,48,516044
48,48,516044
49,48,516044
50,48,514702
51,48,515144
52,48,515653
53,48,516044
54,48,
55,48,
1,76,6187177
2,76,5753283
3,76,6185000
4,76,6187177
5,76,6180877
6,76,6180877
7,76,6180877
8,76,6180877
9,76,6180877
10,76,6187177
11,76,6180877
12,76,6187177
13,76,6180877
14,76,6180877
15,76,6180877
16,76,6187177
17,76,6181089
18,76,6187177
19,76,6205464
20,76,6190000
21,76,6180877
22,76,6180877
23,76,5496268
24,76,
25,76,
26,76,6129700
27,76,52526
28,76,6180877
29,76,6190000
30,76,6187177
31,76,6127578
32,76,6180877
33,76,6205796
34,76,6199376
35,76,6187177
36,76,6187177
37,76,6180877
38,76,52526
39,76,5398093
40,76,
41,76,6187177
42,76,6180877
43,76,6190000
44,76,507823
45,76,
46,76,6180877
47,76,6181089
48,76,6185677
49,76,6185677
50,76,6151813
51,76,6184749
52,76,6180877
53,76,6181089
54,76,
55,76,
1,79,56483111
2,79,60216421
3,79,56245000
4,79,56477627
5,79,56440050
6,79,56440050
7,79,56440050
8,79,56439850
9,79,56439850
10,79,56483111
11,79,50320181
12,79,56482911
13,79,56439850
14,79,56439850
15,79,56439850
16,79,56482911
17,79,56479860
18,79,46771077
19,79,56495137
20,79,56480000
21,79,56439850
22,79,56440050
23,79,53907113
24,79,
25,79,
26,79,55793400
27,79,815699
28,79,56439850
29,79,56480000
30,79,56482911
31,79,47990266
32,79,56439850
33,79,56781882
34,79,56493136
35,79,52618459
36,79,61946634
37,79,56439850
38,79,815499
39,79,46828991
40,79,
41,79,56483111
42,79,56440050
43,79,56480000
44,79,6021869
45,79,
46,79,50320181
47,79,56480912
48,79,56245111
49,79,56318085
50,79,56338396
51,79,56245111
52,79,56437224
53,79,56480911
54,79,
55,79,
1,88,2930250
2,88,2904525
3,88,2885000
4,88,2930250
5,88,2925150
6,88,2925150
7,88,2925150
8,88,2925150
9,88,2925150
10,88,2885123
11,88,2925150
12,88,2930250
13,88,2925150
14,88,2925150
15,88,2925150
16,88,2930250
17,88,2928650
18,88,2930250
19,88,2933422
20,88,2930000
21,88,2925150
22,88,2925150
23,88,2555475
24,88,
25,88,
26,88,2876300
27,88,48136
28,88,2925150
29,88,2930000
30,88,2930250
31,88,2705199
32,88,2925150
33,88,2933929
34,88,2931822
35,88,1651716
36,88,2930250
37,88,2925150
38,88,48136
39,88,0
40,88,
41,88,2930250
42,88,2925150
43,88,2930000
44,88,318498
45,88,
46,88,2925150
47,88,2928650
48,88,2895957
49,88,2905050
50,88,2900109
51,88,2885123
52,88,2925150
53,88,2928650
54,88,
55,88,
1,100,1385332
2,100,1100698
3,100,1383000
4,100,1385332
5,100,1377381
6,100,1377381
7,100,1377381
8,100,1375405
9,100,1375405
10,100,1383356
11,100,1375405
12,100,1383356
13,100,1375405
14,100,1375405
15,100,1375405
16,100,1383356
17,100,1383356
18,100,1383356
19,100,1424522
20,100,1380000
21,100,1375405
22,100,1375405
23,100,1092692
24,100,
25,100,
26,100,1361000
27,100,49721
28,100,1375405
29,100,1380000
30,100,1383356
31,100,1249947
32,100,1375405
33,100,1424522
34,100,1424522
35,100,1383356
36,100,1383356
37,100,1375405
38,100,46525
39,100,1160762
40,100,
41,100,1385332
42,100,1377381
43,100,1380000
44,100,293993
45,100,
46,100,1375405
47,100,1383356
48,100,1383356
49,100,1383356
50,100,1417923
51,100,1383356
52,100,1375405
53,100,1383356
54,100,
55,100,
1,102,4867903
2,102,4751923
3,102,4853000
4,102,4867903
5,102,4864930
6,102,4864930
7,102,4864930
8,102,4864130
9,102,4864130
10,102,4859046
11,102,4864130
12,102,4867103
13,102,4864130
14,102,4864130
15,102,4864130
16,102,4867103
17,102,4867103
18,102,4615242
19,102,4875345
20,102,4870000
21,102,4864130
22,102,4864930
23,102,4469324
24,102,
25,102,
26,102,4840400
27,102,21439
28,102,4864130
29,102,4870000
30,102,4867103
31,102,4864130
32,102,4864130
33,102,4875345
34,102,4875345
35,102,4867103
36,102,4867103
37,102,4864130
38,102,21439
39,102,0
40,102,
41,102,4867903
42,102,4864930
43,102,4870000
44,102,372514
45,102,
46,102,4864130
47,102,4867903
48,102,4867103
49,102,4867103
50,102,4870279
51,102,4853008
52,102,4864130
53,102,4867103
54,102,
55,102,
1,110,8702113
2,110,8443880
3,110,8646000
4,110,8702113
5,110,8693888
6,110,8693888
7,110,8693888
8,110,8691300
9,110,8691300
10,110,8698325
11,110,8690100
12,110,8699525
13,110,8691300
14,110,8691300
15,110,8691300
16,110,8699525
17,110,8699125
18,110,8698325
19,110,8706101
20,110,8700000
21,110,8691300
22,110,8691300
23,110,8216599
24,110,
25,110,
26,110,8716800
27,110,76194
28,110,8691300
29,110,8700000
30,110,8699525
31,110,8636302
32,110,8691300
33,110,8706101
34,110,8705701
35,110,14147450
36,110,8699525
37,110,8691300
38,110,69142
39,110,8077140
40,110,
41,110,8702113
42,110,8693888
43,110,8700000
44,110,588886
45,110,
46,110,8690100
47,110,8699125
48,110,8699525
49,110,8699525
50,110,8682326
51,110,8645727
52,110,8691300
53,110,8699125
54,110,
55,110,
1,112,1345909
2,112,1311045
3,112,1338000
4,112,1345909
5,112,1340209
6,112,1340209
7,112,1340209
8,112,1340209
9,112,1340209
10,112,1345909
11,112,1287920
12,112,1345909
13,112,1340209
14,112,1340209
15,112,1340209
16,112,1345909
17,112,1345909
18,112,1345609
19,112,1346109
20,112,1350000
21,112,1340209
22,112,1340209
23,112,1260005
24,112,
25,112,
26,112,1334000
27,112,23370
28,112,1340209
29,112,1350000
30,112,1345909
31,112,1332440
32,112,1340209
33,112,1351910
34,112,1346109
35,112,1345909
36,112,1345909
37,112,1340209
38,112,23370
39,112,0
40,112,
41,112,1345909
42,112,1340209
43,112,1350000
44,112,272160
45,112,
46,112,1287920
47,112,1345909
48,112,1338964
49,112,1345609
50,112,1337819
51,112,1338340
52,112,1340209
53,112,1345909
54,112,
55,112,
1,121,818009
2,121,788453
3,121,811501
4,121,818009
5,121,817409
6,121,817409
7,121,817409
8,121,815785
9,121,815785
10,121,814210
11,121,815785
12,121,816385
13,121,815785
14,121,815785
15,121,815785
16,121,816385
17,121,816385
18,121,816385
19,121,819109
20,121,816385
21,121,815785
22,121,816409
23,121,718600
24,121,
25,121,
26,121,804200
27,121,24653
28,121,815785
29,121,816385
30,121,816385
31,121,794618
32,121,815785
33,121,822180
34,121,819109
35,121,816385
36,121,816385
37,121,815785
38,121,24129
39,121,685267
40,121,
41,121,818009
42,121,817409
43,121,818010
44,121,190687
45,121,
46,121,815785
47,121,816385
48,121,816385
49,121,816385
50,121,815249
51,121,811501
52,121,815785
53,121,816385
54,121,
55,121,
1,123,2072296
2,123,1926795
3,123,2011000
4,123,2072296
5,123,2068269
6,123,2068269
7,123,2068269
8,123,2066222
9,123,2066222
10,123,2069949
11,123,2065922
12,123,2070249
13,123,2066222
14,123,2066222
15,123,2066222
16,123,2070249
17,123,2070249
18,123,2069949
19,123,2085463
20,123,2070000
21,123,2066222
22,123,2066352
23,123,1839298
24,123,
25,123,
26,123,1984100
27,123,83810
28,123,2066222
29,123,2070000
30,123,2070249
31,123,1995314
32,123,2066222
33,123,2094283
34,123,2085463
35,123,2070249
36,123,2070249
37,123,2066222
38,123,83680
39,123,1679702
40,123,
41,123,2079696
42,123,2075669
43,123,2080000
44,123,345033
45,123,
46,123,2065922
47,123,2070249
48,123,2070249
49,123,2070249
50,123,2083663
51,123,2010603
52,123,2066222
53,123,2070249
54,123,
55,123,
1,148,1700468
2,148,1725739
3,148,1600000
4,148,1700468
5,148,1691368
6,148,1691368
7,148,1691368
8,148,1690668
9,148,1690668
10,148,1699466
11,148,1690668
12,148,1699768
13,148,1690668
14,148,1690668
15,148,1690668
16,148,1699768
17,148,1699637
18,148,1505148
19,148,1700468
20,148,1700000
21,148,1690668
22,148,1690668
23,148,1629116
24,148,
25,148,
26,148,1693700
27,148,3915
28,148,1690668
29,148,1700000
30,148,1699768
31,148,1597443
32,148,1690668
33,148,1703137
34,148,1700337
35,148,1699768
36,148,1699768
37,148,1690668
38,148,3915
39,148,0
40,148,
41,148,1700468
42,148,1691368
43,148,1700000
44,148,292256
45,148,
46,148,1690668
47,148,1699637
48,148,1699768
49,148,1699768
50,148,1699268
51,148,1699222
52,148,1690668
53,148,1699637
54,148,
55,148,
1,152,1253341
2,152,1278668
3,152,1252000
4,152,1253341
5,152,1247541
6,152,1247541
7,152,1247541
8,152,1247441
9,152,1247441
10,152,1253241
11,152,1247441
12,152,1253241
13,152,1247441
14,152,1247441
15,152,1247441
16,152,1253241
17,152,1253141
18,152,1253241
19,152,1261141
20,152,1250000
21,152,1247441
22,152,1247441
23,152,1028715
24,152,
25,152,
26,152,1239100
27,152,8700
28,152,1247441
29,152,1250000
30,152,1253241
31,152,1247441
32,152,1247441
33,152,1261141
34,152,1261041
35,152,1253241
36,152,1253241
37,152,1247441
38,152,8700
39,152,0
40,152,
41,152,1253341
42,152,1247541
43,152,1250000
44,152,243255
45,152,
46,152,1247441
47,152,1253141
48,152,1253241
49,152,1253241
50,152,1252745
51,152,1252341
52,152,1247441
53,152,1253141
54,152,
55,152,
1,168,3983786
2,168,3791557
3,168,3980000
4,168,3983786
5,168,3983386
6,168,3983386
7,168,3983386
8,168,3982924
9,168,3983024
10,168,3983424
11,168,3982724
12,168,3983324
13,168,3982924
14,168,3982924
15,168,3982924
16,168,3983324
17,168,3983324
18,168,3927082
19,168,3984296
20,168,3980000
21,168,3982924
22,168,3983024
23,168,3762855
24,168,
25,168,
26,168,3913700
27,168,8793
28,168,3982924
29,168,3980000
30,168,3983324
31,168,3977265
32,168,3982924
33,168,3984296
34,168,3984296
35,168,2566945
36,168,3983424
37,168,3983024
38,168,8893
39,168,3795046
40,168,
41,168,3983786
42,168,3983386
43,168,3980000
44,168,390450
45,168,
46,168,3982724
47,168,3983424
48,168,3983324
49,168,3983324
50,168,3968288
51,168,3980112
52,168,3982924
53,168,3983324
54,168,
55,168,
1,171,6421869
2,171,5413497
3,171,6415000
4,171,6421769
5,171,6416846
6,171,6416846
7,171,6416846
8,171,6411349
9,171,6411349
10,171,6416272
11,171,6411049
12,171,6416272
13,171,6411349
14,171,6411349
15,171,6411349
16,171,6416272
17,171,6414572
18,171,6416272
19,171,6422336
20,171,6420000
21,171,6415346
22,171,6416046
23,171,5380309
24,171,
25,171,
26,171,6312700
27,171,33880
28,171,6411349
29,171,6420000
30,171,6416272
31,171,6411049
32,171,6411349
33,171,6435669
34,171,6420636
35,171,
36,171,6416272
37,171,6411349
38,171,33880
39,171,5777703
40,171,
41,171,6421769
42,171,6416846
43,171,6420000
44,171,691638
45,171,
46,171,6411049
47,171,5627237
48,171,6416272
49,171,6416272
50,171,6407545
51,171,6414984
52,171,6411349
53,171,6414572
54,171,
55,171,
1,177,4478623
2,177,4395038
3,177,4471000
4,177,4478723
5,177,4098798
6,177,4098798
7,177,4098798
8,177,4096256
9,177,4096256
10,177,4476181
11,177,4096256
12,177,4476181
13,177,4096256
14,177,4096256
15,177,4096256
16,177,4476181
17,177,4473881
18,177,4475101
19,177,4673482
20,177,4480000
21,177,4096256
22,177,4096256
23,177,4040325
24,177,
25,177,
26,177,4423700
27,177,223031
28,177,4096256
29,177,4480000
30,177,4476181
31,177,3878789
32,177,4096256
33,177,4673482
34,177,4671182
35,177,4476181
36,177,4476181
37,177,4096256
38,177,211071
39,177,0
40,177,
41,177,4478723
42,177,4098798
43,177,4480000
44,177,643144
45,177,
46,177,4096256
47,177,4473881
48,177,4476181
49,177,4476181
50,177,4667427
51,177,4470564
52,177,4096256
53,177,4473881
54,177,
55,177,
1,181,1735871
2,181,1695424
3,181,1734000
4,181,1735071
5,181,1732597
