entity,domain
4,666800
27,2283500
29,12016700
37,13238800
38,1641200
48,509900
76,6129700
79,55793400
88,2876300
100,1361000
102,4840400
110,8716800
112,1334000
121,804200
123,1984100
148,1693700
152,1239100
168,3913700
171,6312700
177,4423700
181,1713200
201,3719400
205,34935700
209,49246600
214,2132000
216,1541100
240,1484400
267,2288900
279,395700
290,1943200
291,1403200
295,1104500
322,968700
325,2028200
359,15111100
362,3516100
383,1111600
407,1046200
423,1149000
462,1503300
464,2779000
466,956800
470,4026700
500,707300
502,1260400
507,4709800
516,1967400
529,2183700
546,1633800
549,11447300
554,24928200
555,920600
556,5159300
562,3126000
580,6048700
591,6696000
627,12659700
632,3900400
641,13487300
643,3810100
670,30317200
671,936800
696,12726900
700,3229600
707,2915100
748,2192600
759,2421300
760,14598100
768,832900
776,2078500
792,1442000
803,2532900
806,224900
813,1707100
825,3701900
829,3628100
835,5312000
838,6309100
848,2168300
849,3384800
861,15163300
863,9575400
877,11463000
888,4939000
895,1652900
913,3241400
922,3963300
940,1621600
949,6327300
959,3330000
960,7086800
968,5644300
970,10723000
976,1032100
980,8723300
981,1260400
984,2217700
988,1193700
989,12693900
998,406200
