entity,domain
4,673614
27,2300895
29,12028798
37,13396378
38,1659407
48,516044
76,6187177
79,56482911
88,2930250
100,1383356
102,4867103
110,8699525
112,1345909
121,816385
123,2070249
148,1699768
152,1253241
168,3983324
171,6416272
177,4476181
181,1735871
201,3756676
205,35364863
209,49590671
214,2153733
216,1561430
240,1521553
267,2310985
279,388970
290,1967331
291,1425728
295,1127564
322,978948
325,2073601
359,15447286
362,3594065
383,1123894
407,1056852
423,1174096
462,1518071
464,2793472
466,971143
470,4107435
500,717087
502,1124067
507,4768735
516,1983039
529,2211845
546,1652343
549,11607337
554,25214864
555,934370
556,5227063
562,3177246
580,6135825
591,6781157
627,12773888
632,3978362
641,13632889
643,3868464
670,30554681
671,949101
696,12861466
700,3268365
707,2951543
748,2213928
759,2460853
760,14764168
768,841901
776,2109369
792,1458378
803,2569107
806,228389
813,1731795
825,3751093
829,3682528
835,5382998
838,6380973
848,2185264
849,3428756
861,15327483
863,9688961
877,11620332
888,5000537
895,1669257
913,3343521
922,4004825
940,1642876
949,6387831
959,3342206
960,7198371
968,5720157
970,10818730
976,1056407
980,8993917
981,1277481
984,2251336
988,1128328
989,12847872
998,414172
