entity,domain
4,673614
27,2294371
29,12028088
37,13396278
38,1659407
48,516044
76,6181089
79,56479860
88,2928650
100,1383356
102,4867103
110,8699125
112,1345909
121,816385
123,2070249
148,1699637
152,1253141
168,3983324
171,6414572
177,4473881
181,1735571
201,3648970
205,35351600
209,49583792
214,2153533
216,1561330
240,1518153
267,2310885
279,388970
290,1967331
291,1425728
295,1124864
322,978848
325,2073101
359,15346696
362,3589605
383,1123894
407,1056852
423,1173996
462,1517971
464,2792972
466,971043
470,3949723
500,716887
502,1123271
507,4768735
516,1982939
529,2209940
546,1651943
549,11607337
554,25206996
555,934370
556,5183768
562,3172253
580,6132525
591,6772077
627,12772788
632,3959970
641,13632889
643,3862364
670,30554280
671,949101
696,12861466
700,3213250
707,2924787
748,2211850
759,2460853
760,13703255
768,830372
776,2109269
792,1458278
803,2567301
806,228389
813,1731795
825,3745912
829,3682328
835,5378898
838,6379725
848,2129736
849,3416727
861,15312203
863,9688961
877,11590526
888,4981688
895,1619554
913,3343021
922,4004825
940,1642476
949,6334678
959,3341656
960,7191171
968,5720157
970,10818730
976,1055453
980,8991685
981,1277481
984,2250036
988,1127428
989,12842033
998,414172
