entity,domain
4,70847
27,146392
29,1505042
37,1539333
38,218898
48,41983
76,507823
79,6021869
88,318498
100,293993
102,372514
110,588886
112,272160
121,190687
123,345033
148,292256
152,243255
168,390450
171,691638
177,643144
181,219295
201,652275
205,5534633
209,8315459
214,257333
216,255490
240,268502
267,281722
279,66473
290,235938
291,262922
295,129060
322,223925
325,284779
359,1825990
362,314719
383,179560
407,72721
423,227289
462,488139
464,104405
466,133702
470,466926
500,169976
502,
507,739029
516,481154
529,598554
546,533801
549,2192917
554,3345466
555,214219
556,507499
562,1002621
580,910164
591,1358323
627,3843527
632,332906
641,4144920
643,1019879
670,5772935
671,88122
696,1874725
700,323613
707,498881
748,685783
759,204646
760,1400011
768,214206
776,466037
792,156139
803,273588
806,39961
813,410349
825,550238
829,873308
835,1205561
838,1000664
848,421612
849,1736688
861,4025065
863,2098257
877,4883885
888,531043
895,213342
913,208491
922,477561
940,165925
949,575266
959,532876
960,477623
968,829730
970,1438211
976,119550
980,1747435
981,219364
984,914408
988,272810
989,1231461
998,73637
