entity,domain
4,674663
27,2300895
29,12041657
37,13405219
38,1659407
48,516502
76,6187177
79,56483111
88,2930250
100,1385332
102,4867903
110,8702113
112,1345909
121,818009
123,2072296
148,1700468
152,1253341
168,3983786
171,6421869
177,4478623
181,1735871
201,3756676
205,35364980
209,49656896
214,2153833
216,1561430
240,1521953
267,2311938
279,389270
290,1967331
291,1425728
295,1127564
322,979392
325,2074561
359,15450575
362,3594575
383,1123894
407,1056852
423,1174196
462,1518831
464,2793472
466,971143
470,4109935
500,717087
502,1124267
507,4768735
516,1984988
529,2213698
546,1653833
549,11608937
554,25237394
555,935770
556,5227363
562,3177246
580,6146325
591,6792906
627,12775795
632,3979082
641,13650135
643,3868464
670,30589553
671,949101
696,12950640
700,3268365
707,2951543
748,2218028
759,2460853
760,14764168
768,841901
776,2111653
792,1463737
803,2569407
806,228489
813,1732725
825,3751793
829,3683728
835,5383838
838,6380973
848,2185264
849,3429156
861,15329183
863,9691691
877,11620332
888,5003397
895,1669457
913,3345285
922,4006925
940,1653811
949,6387931
959,3342206
960,7198371
968,5728446
970,10827832
976,1056772
980,9027217
981,1330531
984,2252136
988,1128328
989,12848472
998,414802
