entity,domain
4,671563
27,2292775
29,11975522
37,13476000
38,1657009
48,514702
76,6151813
79,56338396
88,2900109
100,1417923
102,4870279
110,8682326
112,1337819
121,815249
123,2083663
148,1699268
152,1252745
168,3968288
171,6407545
177,4667427
181,1732472
201,3736240
205,35443640
209,49693954
214,2144806
216,1591721
240,1519473
267,2306913
279,397215
290,1963312
291,1421931
295,1126473
322,975172
325,2066029
359,15454225
362,3596284
383,1119032
407,1053109
423,1181576
462,1524113
464,2791323
466,967343
470,4101029
500,729125
502,1125342
507,4872392
516,1977220
529,2203278
546,1704409
549,11613293
554,25215496
555,934836
556,5220769
562,3172946
580,6075059
591,6789530
627,12756638
632,3962869
641,13672695
643,3865804
670,30363283
671,947601
696,13011679
700,3263583
707,2935013
748,2214197
759,2442240
760,14764168
768,838799
776,2100392
792,1474975
803,2561240
806,227498
813,1729855
825,3751040
829,3672308
835,5377288
838,6354807
848,2179114
849,3427556
861,15312798
863,9547346
877,11593311
888,4994102
895,1663157
913,3339602
922,3999321
940,1656617
949,6366188
959,3332207
960,7188080
968,5690738
970,10811315
976,1053322
980,8914044
981,1319841
984,2244088
988,1126321
989,12875741
998,414102
