entity,domain
4,594689
27,2045634
29,10167787
37,0
38,0
48,452831
76,5398093
79,46828991
88,0
100,1160762
102,0
110,8077140
112,0
121,685267
123,1679702
148,0
152,0
168,3795046
171,5777703
177,0
181,1614017
201,3140320
205,30856084
209,40478223
214,1848771
216,1299851
240,0
267,0
279,0
290,0
291,1308530
295,0
322,0
325,1745863
359,14284700
362,3277450
383,0
407,884586
423,0
462,0
464,2586037
466,812039
470,3221905
500,0
502,0
507,4140091
516,0
529,0
546,0
549,10166555
554,21776655
555,0
556,4406388
562,2471873
580,5068487
591,5990183
627,0
632,3653563
641,11901532
643,0
670,28408390
671,768684
696,10227863
700,2828961
707,2533842
748,1756549
759,0
760,12996462
768,0
776,1863684
792,0
803,2392028
806,0
813,0
825,3120884
829,0
835,0
838,5559512
848,1691494
849,0
861,13281541
863,0
877,9821103
888,4612955
895,1445266
913,2814055
922,0
940,0
949,5903402
959,0
960,0
968,4986406
970,9590881
976,929854
980,0
981,0
984,1831060
988,868446
989,11553799
998,0
