1,5,Austin,Rain,,1
2,5,Austin,Rain,93,1
3,5,Austin,Light Rain,93,1
4,5,Austin,Light Rain,76,1
5,5,Austin,Rain,93,1
6,5,Austin,Light Rain,97,1
7,5,Austin,Showers,87,1
14,5,Austin,Cloudy,90,1
8,5,Austin,Cloudy,89,1
9,5,Austin,Short term forecastRain,93,1
10,5,Austin,moderate rain,93,1
11,5,Austin,Rain,93,1
12,5,Austin,Rain,93,1
13,5,Austin,Rain Fog/Mist,93,1
1,10,Austin,Rain,,1
2,10,Austin,Rain,93,1
3,10,Austin,Rain,93,1
4,10,Austin,Rain Mist,80,1
5,10,Austin,Rain,95,1
6,10,Austin,Light Rain,97,1
7,10,Austin,Rain,93,1
14,10,Austin,Thunderstorm,92,1
8,10,Austin,Rain,95,1
9,10,Austin,Weather WarningsCloudy,93,1
10,10,Austin,moderate rain,93,1
11,10,Austin,Light Rain,93,1
12,10,Austin,Rain,93,1
13,10,Austin,Rain Fog/Mist,93,1
1,13,Austin,Cloudy,,1
2,13,Austin,Mostly Cloudy,81,1
3,13,Austin,Overcast,76,1
4,13,Austin,Overcast,62,1
5,13,Austin,Cloudy,82,1
6,13,Austin,Overcast,66,1
7,13,Austin,Cloudy,76,1
14,13,Austin,Rain,96,1
8,13,Austin,Cloudy,82,1
9,13,Austin,Short term forecastMostly Cloudy,81,1
10,13,Austin,mostly cloudy,81,1
11,13,Austin,Cloudy,82,1
12,13,Austin,Cloudy,86,1
13,13,Austin,Mostly Cloudy,74,1
1,25,Austin,Cloudy,,1
2,25,Austin,Fog And Mist,87,1
3,25,Austin,Overcast,85,1
4,25,Austin,Overcast,75,1
5,25,Austin,Cloudy,81,1
6,25,Austin,Mist,80,1
7,25,Austin,Cloudy,86,1
14,25,Austin,Cloudy,82,1
8,25,Austin,Cloudy,81,1
9,25,Austin,Fog,86,1
10,25,Austin,mostly cloudy,80,1
11,25,Austin,Cloudy,81,1
12,25,Austin,Cloudy,93,1
1,31,Austin,Cloudy,,1
2,31,Austin,Overcast,87,1
3,31,Austin,Overcast,85,1
4,31,Austin,Overcast,77,1
5,31,Austin,Cloudy,84,1
6,31,Austin,Overcast,86,1
7,31,Austin,Cloudy,89,1
14,31,Austin,Cloudy,85,1
8,31,Austin,Cloudy,84,1
9,31,Austin,Cloudy,86,1
10,31,Austin,mostly cloudy,80,1
11,31,Austin,Cloudy,84,1
12,31,Austin,Cloudy,93,1
1,35,Austin,Cloudy,,1
2,35,Austin,Overcast,81,1
3,35,Austin,Overcast,85,1
4,35,Austin,Overcast,75,1
5,35,Austin,Cloudy,86,1
6,35,Austin,Overcast,88,1
7,35,Austin,Cloudy,81,1
14,35,Austin,Mostly Cloudy,89,1
8,35,Austin,Mostly Cloudy,88,1
9,35,Austin,Cloudy,80,1
10,35,Austin,mostly cloudy,87,1
11,35,Austin,Cloudy,85,1
12,35,Austin,Cloudy,93,1
1,38,Austin,Cloudy,,1
2,38,Austin,Overcast,81,1
3,38,Austin,Overcast,82,1
4,38,Austin,Overcast,75,1
5,38,Austin,Cloudy,85,1
6,38,Austin,Overcast,85,1
7,38,Austin,Cloudy,82,1
14,38,Austin,Cloudy,86,1
8,38,Austin,Cloudy,85,1
9,38,Austin,Short term forecastCloudy,80,1
10,38,Austin,mostly cloudy,87,1
11,38,Austin,Cloudy,85,1
12,38,Austin,Cloudy,86,1
1,39,Austin,Cloudy,,1
2,39,Austin,Overcast,87,1
3,39,Austin,Overcast,86,1
4,39,Austin,Overcast,77,1
5,39,Austin,Cloudy,85,1
6,39,Austin,Overcast,84,1
7,39,Austin,Cloudy,87,1
14,39,Austin,Cloudy,86,1
8,39,Austin,Cloudy,85,1
9,39,Austin,Short term forecastFog,87,1
10,39,Austin,mostly cloudy,87,1
11,39,Austin,Cloudy,85,1
12,39,Austin,Cloudy,86,1
1,43,Austin,Cloudy,,1
2,43,Austin,Fog And Mist,87,1
3,43,Austin,Overcast,89,1
4,43,Austin,Overcast,79,1
5,43,Austin,Showers,93,1
6,43,Austin,Mist,95,1
7,43,Austin,Cloudy,87,1
14,43,Austin,Drizzle,93,1
8,43,Austin,Showers,92,1
9,43,Austin,Short term forecastFog,93,1
10,43,Austin,mostly cloudy,93,1
11,43,Austin,Mist,93,1
12,43,Austin,Cloudy,93,1
1,50,Austin,Cloudy,,1
2,50,Austin,Fog And Mist,81,1
3,50,Austin,Haze,82,1
4,50,Austin,Haze,72,1
5,50,Austin,Fog,88,1
6,50,Austin,Hazy,77,1
7,50,Austin,Cloudy,82,1
14,50,Austin,Cloudy,89,1
8,50,Austin,Fog,81,1
9,50,Austin,Short term forecastHaze,81,1
10,50,Austin,mostly cloudy,81,1
11,50,Austin,Light Fog,88,1
12,50,Austin,Mostly Cloudy,87,1
