5,0,,76;97;87;90;89,1
10,0,,93;80;95;97;92,1
13,0,Cloudy;Mostly Cloudy;Overcast,,1
25,0,Cloudy,,1
31,0,Cloudy;Overcast;mostly cloudy,,1
35,0,Cloudy;Overcast;Mostly Cloudy;mostly cloudy,,1
38,0,Cloudy;Overcast;Short term forecastCloudy;mostly cloudy,,1
39,0,Cloudy;Overcast;Short term forecastFog;mostly cloudy,87;86;77;85;84,1
43,0,,87;89;79;93;95;92,1
50,0,,,1
0,0,Overcast,85,1
91,0,Partly Cloudy;Overcast;Scattered Clouds;Cloudy;clear sky,65;53;52;63;69,1
104,0,,,1
112,0,Fair;Clear;Partly Sunny,,1
130,0,Cloudy;Overcast;mostly cloudy,,1
132,0,Cloudy;Overcast;mostly cloudy,,1
145,0,Cloudy,,1
149,0,Light Rain;Rain;Showers,93;98;96;97;100,1
154,0,,94;93;98;92;97,1
156,0,Rain;Light Rain,100;97;98;93;92,1
167,0,,93;96;98;100;97;95,1
0,0,Fog/Mist,93,1
205,0,,93;89;96;97;100,1
209,0,,93;100;97;96,1
0,0,Fog/Mist,86,1
0,0,Fog/Mist,86,1
0,0,Overcast with Haze,80,1
259,0,Cloudy;Hazy;Haze;Short term forecastHaze;mostly cloudy,,1
273,0,Light Rain;Rain;Cloudy,87;86;89;93;90,1
275,0,Rain;Light Rain;Light Rain Mist;Short term forecastRain;light rain,93;96;97;89;100,1
1080,0,Cloudy;Overcast;Winter Weather AdvisoryCloudy;mostly cloudy,,1
1968,0,Cloudy;Overcast;mostly cloudy,66;50;69;70;67,1
2014,0,Cloudy;Overcast;Flood warningCloudy;mostly cloudy,80;75;77;74;78,1
2051,0,Cloudy;Overcast;Flood warningCloudy;mostly cloudy,86;82;78;79;80,1
2053,0,Cloudy;Overcast;Short term forecastCloudy;mostly cloudy,86;85;83;82;77;78,1
2120,0,Cloudy;Overcast;mostly cloudy,,1
2611,0,Cloudy;Overcast;mostly cloudy,,1
3017,0,Cloudy;mostly cloudy;Mostly Cloudy,81;76;79;87,1
3547,0,Partly Cloudy,82;79;85;80;75,1
3650,0,Cloudy;Overcast;mostly cloudy,76;81;78;83;80,1
3659,0,Cloudy;Overcast;mostly cloudy,75;76;79;83;81,1
4051,0,Cloudy;Overcast;Short term forecastCloudy;mostly cloudy,78;76;74;86,1
4280,0,,,1
5268,0,Cloudy;Overcast;mostly cloudy,53;55;20;69;50,1
5316,0,Cloudy;Overcast;mostly cloudy,57;60;34;59;72;67,1
5479,0,Cloudy;Overcast;Partly Cloudy;mostly cloudy,,1
5485,0,Cloudy;Overcast;mostly cloudy,,1
5765,0,Cloudy;Overcast;Weather WarningsCloudy;mostly cloudy,59;60;52;51,1
5953,0,Cloudy;Mostly Cloudy;Winter storm watchCloudy;mostly cloudy,75;73;72;70,1
6021,0,Cloudy;Overcast;mostly cloudy,61;67;79;65,1
7314,0,Cloudy;Overcast;Few;mostly cloudy;Partly Cloudy,,1
7449,0,Cloudy,,1
8208,0,,,1
8280,0,Cloudy;Mostly Cloudy,90;80;82;87,1
8792,0,Cloudy;Overcast;Mostly Cloudy;mostly cloudy,82;83;71;72,1
0,0,Fog/Mist,85,1
5,0,,76;97;87;90;89,1
