entity,source,brand,number,screen_type,supported_aspect_ratio,response_time(ms),screen_size_diagonal,day
22,1,Philips_Electronics,134,LCD,5:04,5,48.3,1
22,2,Philips_Electronics,295,TFT LCD 16.7 Million Colour,5:04,5,48.3,1
22,3,Philips_Electronics,410,Brilliance LCD Monitor LED Backlight with SmartImage,5:04,5,48.3,1
22,4,Philips_Electronics,842,LCD Monitor,5:04,5,48.3,1
22,5,Philips_Electronics,864,LCD Monitor,5:04,5,48.3,1
25,5,Philips_Electronics,286,LCD Monitor,16:10,5,55.9,1
25,1,Philips_Electronics,311,LCD,16:10,5,55.9,1
25,4,Philips_Electronics,788,LCD Monitor,16:10,5,55.9,1
25,3,Philips_Electronics,1540,Brilliance LCD monitor LED Backlight With PowerSensor,16:10,5,55.9,1
27,4,Philips_Electronics,123,LCD Monitor,16:09,5,54.6,1
27,2,Philips_Electronics,125,TFT LCD 16.7 Million Colour,16:09,5,54.6,1
27,5,Philips_Electronics,230,LCD Monitor,16:09,5,54.6,1
27,1,Philips_Electronics,634,LED,16:09,5,54.6,1
27,3,Philips_Electronics,772,Brilliance LCD Monitor LED Backlight with PowerSensor,16:09,5,54.6,1
28,2,Philips_Electronics,322,TFT LCD 16.7 Million Colour,16:09,5,58.4,1
28,1,Philips_Electronics,576,LED,16:09,5,54.6,1
28,4,Philips_Electronics,669,LCD Monitor,16:09,5,54.6,1
28,5,Philips_Electronics,680,LCD Monitor,16:09,5,54.6,1
32,1,Philips_Electronics,304,LED,16:09,5,61,1
32,2,Philips_Electronics,318,LCD with LED Backlight 16.7 Million Colour,16:09,5,61,1
32,4,Philips_Electronics,507,LCD Monitor,16:09,5,61,1
32,5,Philips_Electronics,550,LCD Monitor,16:09,5,61,1
32,3,Philips_Electronics,585,Brilliance LCD Monitor LED Backlight with PowerSensor,16:09,5,61,1
33,2,Philips_Electronics,230,TFT LCD 16.7 Million Colour,16:09,5,61,1
33,4,Philips_Electronics,334,LCD Monitor,16:09,1,61,1
33,5,Philips_Electronics,462,LCD Monitor,16:09,1,61,1
33,1,Philips_Electronics,557,TN+Film,16:09,5,61,1
33,3,Philips_Electronics,619,Brilliance LCD Monitor with SmartImage Game 242G5DJEB 144Hz 24\,16:09,1,61,1
39,2,Philips_Electronics,111,LCD Monitor,16:09,5,68.6,1
39,5,Philips_Electronics,167,LCD Monitor,16:09,5,68.6,1
39,1,Philips_Electronics,486,LED,16:09,3.5,68.6,1
