entity_id,website,brand,number,screen_type,supported_aspect_ratio,response_time(ms),screen_size_diagonal,day
22,1,Philips_Electronics,134,LCD,5:04,5.083093739,44.53785537,1
22,2,Philips_Electronics,295,TFT LCD 16.7 Million Colour,5:04,5.400235618,51.34841766,1
22,3,Philips_Electronics,410,"""Brilliance LCD Monitor",5:04,5.252174642,46.79495392,1
22,4,Philips_Electronics,842,LCD Monitor,5:04,4.863041961,47.71357324,1
22,5,Philips_Electronics,864,LCD Monitor,5:04,4.985910851,52.85760034,1
25,5,Philips_Electronics,286,LCD Monitor,16:10,4.668329732,50.73942381,1
25,1,Philips_Electronics,311,LCD,16:10,4.678791561,53.39001563,1
25,4,Philips_Electronics,788,LCD Monitor,16:11,5.013591612,60.24100679,1
25,3,Philips_Electronics,1540,"""Brilliance LCD monitor",16:09,4.871696934,54.3211644,1
27,4,Philips_Electronics,123,LCD Monitor,16:09,4.92230881,58.83372504,1
27,2,Philips_Electronics,125,TFT Brilliance LCD 16.7 Million Colour,16:09,4.941355792,50.57930786,1
27,5,Philips_Electronics,230,LCD Monitor,16:09,4.856074616,52.60976829,1
27,1,Philips_Electronics,634,LED,16:09,4.91305422,50.26067372,1
27,3,Philips_Electronics,772,Brilliance Monitor LED Backlight with PowerSensor,16:09,4.946323687,56.31519869,1
28,2,Philips_Electronics,322,TFT LCD 16.7 Million Colour,16:09,4.956908763,63.26740814,1
28,1,Philips_Electronics,576,LED,16:10,4.872858177,49.6731007,1
28,4,Philips_Electronics,669,LCD,16:09,4.730472416,54.29735559,1
28,5,Philips_Electronics,680,LCD Monitor,16:08,5.246073179,54.70574169,1
32,1,Philips_Electronics,304,LED,16:09,4.841456829,64.81924765,1
32,2,Philips_Electronics,318,LCD with LED Backlight 16.7 Million,16:09,5.440694411,65.6823886,1
32,4,Philips_Electronics,507,LCD Monitor,16:09,5.131492181,64.36903567,1
32,5,Philips_Electronics,550,LCD Monitor,16:09,5.361206304,57.76748949,1
32,3,Philips_Electronics,585,"""Brilliance LCD Monitor",16:10,4.945744991,55.09251412,1
33,2,Philips_Electronics,230,TFT LCD 16.7 Million Colour,16:09,5.17804823,56.21933905,1
33,4,Philips_Electronics,334,LCD Monitor,16:09,0.931607581,65.49638026,1
33,5,Philips_Electronics,462,LCD Monitor,16:08,0.99672834,61.0434447,1
33,1,Philips_Electronics,557,TN+Film,16:09,5.36681041,61.53001296,1
33,3,Philips_Electronics,619,Brilliance LCD Monitor with Game 242G5DJEB 144Hz 24\,16:10,1.032566619,64.59470548,1
39,2,Philips_Electronics,111,Monitor,16:08,4.550148483,63.66514511,1
39,5,Philips_Electronics,167,Brilliance LCD Monitor,16:10,4.815275268,62.65750452,1
39,1,Philips_Electronics,486,LED,16:08,3.568469119,74.03915253,1
39,4,Philips_Electronics,676,Brilliance LCD Monitor,16:09,4.847046476,64.91696373,1
39,3,Philips_Electronics,1899,273E3LHSB Widescreen LCD Monitor,16:09,4.765482176,70.63484284,1
40,2,Philips_Electronics,14,TFT LCD Million Colour,16:09,5.057868627,66.30829899,1
40,1,Philips_Electronics,405,TFT/LCD,16:09,4.819695583,74.99737969,1
40,4,Philips_Electronics,707,LCD,16:09,4.609994372,67.90901729,1
40,5,Philips_Electronics,888,Monitor,16:10,4.820873193,72.86655665,1
41,1,Philips_Electronics,47,TFT/LCD,16:09,4.753762385,61.94106206,1
41,2,Philips_Electronics,124,TFT LCD 16.7 Million Colour,16:08,4.894831309,70.21406467,1
41,5,Philips_Electronics,135,LCD Monitor,16:08,5.027051079,69.33946034,1
41,4,Philips_Electronics,296,LCD,16:10,5.174877692,62.03439559,1
41,3,Philips_Electronics,701,Brilliance LCD Monitor with SmartControl Lite,16:09,4.943369621,68.81979478,1
62,1,Philips_Electronics,232,IPS,16:10,15.24549792,65.05870274,1
62,2,Philips_Electronics,245,IPS TFT LCD 16.7 Million Colour,16:11,15.10743823,60.88332386,1
62,5,Philips_Electronics,464,LCD Monitor,16:09,13.56174232,63.64002794,1
62,3,Philips_Electronics,600,Brilliance Brilliance LCD Monitor With Clinical D-image,16:09,13.27237134,56.26817443,1
62,4,Philips_Electronics,764,Monitor,16:09,12.96252115,58.93265372,1
88,4,iiyama_North_America,93,LCD,16:08,2.036730135,55.44950694,1
88,1,iiyama_North_America,296,TN+Film,16:09,2.154737621,59.81607704,1
88,2,iiyama_North_America,328,TFT Brilliance LCD 16.7 million Colour,16:08,1.863241398,58.31340379,1
88,5,iiyama_North_America,872,Brilliance LCD Monitor,16:09,2.171315911,58.76804161,1
88,3,iiyama_North_America,1710,ProLite E2483HS - A HD LED Monitor with 2 ms Response Time,16:10,2.093742294,56.72511738,1
103,5,Hannspree,169,LCD Monitor,16:08,5.208524626,48.75331954,1
