entity_id,website,brand,number,image_resolution,white_balance,day
6,1,Nikon,6305,26.10498612,Preset;Auto,1
6,2,Nikon,1721,22.07789275,Flash;Fluorescent;Cloudy,1
6,3,Nikon,89,,Preset;Auto,1
6,4,Nikon,16,23.06500085,White Balance Presets;Auto;incandescent;fluorescent;direct sunlight;flash;cloudy;shade;preset manual;all except preset manual with fine-tuning;Custom White Balance,1
6,5,Nikon,108,24.39181204,Preset;Auto,1
6,6,Nikon,9646,,Incandescent;Fluorescent;Direct Sunlight;Flash;Cloudy;Shade;Preset Manual;all Except Preset Manual with Fine-Tuning;Auto,1
13,6,Nikon,9794,,Shade;Color Temperature;Cloudy;Fluorescent;Flash;all with Fine-Tuning;Incandescent;Direct Sunlight;Auto;Preset Manual,1
13,4,Nikon,159,17.45761761,Incandescent;Fluorescent;Direct Sunlight;Flash;Cloudy;Shade;Preset Manual;Color Temperature;All with Fine-Tuning;Auto,1
13,2,Nikon,899,17.4810534,Daylight;Sunny;Fine;Flash;Fluorescent;Incandescent;Shade;Sunlight;Tungsten;Cloudy,1
18,1,Canon,5986,17.80193374,Daylight;Shade;Cloudy;Tungsten Light;White Fluorescent LightFlashCustomColor Temperature Setting;Auto,1
18,4,Canon,773,19.72810603,Custom White Balance;Auto;Preset;Custom;Colour temperature setting;White Balance Presets,1
18,6,Canon,942,,Preset;Custom;Color Temperature Setting;Auto,1
18,2,Canon,1065,18.39080655,Daylight;Sunny;Flash;Fluorescent;Halogen;Incandescent;Shade;Tungsten;Cloudy,1
19,2,Nikon,1677,22.07742669,Flash;Fluorescent;Cloudy,1
19,1,Nikon,5368,26.81607815,Preset;Auto,1
19,5,Nikon,52,26.39369653,Preset;Auto,1
19,4,Nikon,3,26.84420823,Custom White Balance;Auto;incandescent;fluorescent;direct sunlight;flash;cloudy;shade;preset manual;all except preset manual with fine-tuning;White Balance Presets,1
23,3,Canon,131,,Preset;User Defined;Color Temperature Setting;White Balance Correction and White Balance Bracketing;Available Auto,1
23,1,Canon,6578,18.42878059,Preset;User Defined;Color Temperature Setting;White Balance Correction and White Balance Bracketing;Available Auto,1
23,4,Canon,763,16.6899513,Custom White Balance;Auto;Daylight;Shade;Cloudy;Tungsten Light;White Fluorescent Light;Flash;Custom;White Balance Presets,1
23,5,Canon,390,20.5152103,Preset;User Defined;Color Temperature Setting;White Balance Correction and White Balance Bracketing;Available Auto,1
23,2,Canon,1317,17.39314156,Daylight;Sunny;Fine;Flash;Fluorescent;Shade;Tungsten;Underwater;Cloudy,1
41,2,Nikon,1003,23.64172126,Flash;Fluorescent;Incandescent;Shade;Sunlight;Sunny;Tungsten;Cloudy,1
41,1,Nikon,5759,26.43102536,Preset;Auto,1
41,3,Nikon,8,,Preset;Auto,1
41,4,Nikon,103,22.62696373,Custom White Balance;Auto;incandescent;fluorescent;direct sunlight;flash;cloudy;shade;preset manual;all except preset manual with fine-tuning;White Balance Presets,1
44,3,Nikon,31,,Preset;Auto,1
44,5,Nikon,667,26.13044921,Preset;Auto,1
44,2,Nikon,950,24.18269001,Cloudy;Flash;Fluorescent;Incandescent;Shade;Sunlight;Sunny;Tungsten;Artificial,1
