entity_id,website,brand,number,external_memory_type,white_balance,day
6,1,Nikon,6305,24.78,Auto;Preset,1
6,2,Nikon,1721,24,Cloudy;Flash;Fluorescent,1
6,3,Nikon,89,,Auto;Preset,1
6,4,Nikon,16,25,Custom White Balance;White Balance Presets;Auto;incandescent;fluorescent;direct sunlight;flash;cloudy;shade;preset manual;all except preset manual with fine-tuning,1
6,5,Nikon,108,24,Auto;Preset,1
6,6,Nikon,9646,,Auto;Incandescent;Fluorescent;Direct Sunlight;Flash;Cloudy;Shade;Preset Manual;all Except Preset Manual with Fine-Tuning,1
13,6,Nikon,9794,,Preset Manual;Shade;Color Temperature;Cloudy;Fluorescent;Flash;all with Fine-Tuning;Incandescent;Direct Sunlight;Auto,1
13,4,Nikon,159,16.2,Auto;Incandescent;Fluorescent;Direct Sunlight;Flash;Cloudy;Shade;Preset Manual;Color Temperature;All with Fine-Tuning,1
13,2,Nikon,899,16.2,Cloudy;Daylight;Sunny;Fine;Flash;Fluorescent;Incandescent;Shade;Sunlight;Tungsten,1
18,1,Canon,5986,19,Auto;Daylight;Shade;Cloudy;Tungsten Light;White Fluorescent LightFlashCustomColor Temperature Setting,1
18,4,Canon,773,19,White Balance Presets;Custom White Balance;Auto;Preset;Custom;Colour temperature setting,1
18,6,Canon,942,,Auto;Preset;Custom;Color Temperature Setting,1
18,2,Canon,1065,18,Cloudy;Daylight;Sunny;Flash;Fluorescent;Halogen;Incandescent;Shade;Tungsten,1
19,2,Nikon,1677,24,Cloudy;Flash;Fluorescent,1
19,1,Nikon,5368,24.7,Auto;Preset,1
19,5,Nikon,52,25,Auto;Preset,1
19,4,Nikon,3,25,White Balance Presets;Custom White Balance;Auto;incandescent;fluorescent;direct sunlight;flash;cloudy;shade;preset manual;all except preset manual with fine-tuning,1
23,3,Canon,131,,Available Auto;Preset;User Defined;Color Temperature Setting;White Balance Correction and White Balance Bracketing,1
23,1,Canon,6578,19,Available Auto;Preset;User Defined;Color Temperature Setting;White Balance Correction and White Balance Bracketing,1
23,4,Canon,763,18,White Balance Presets;Custom White Balance;Auto;Daylight;Shade;Cloudy;Tungsten Light;White Fluorescent Light;Flash;Custom,1
23,5,Canon,390,19,Available Auto;Preset;User Defined;Color Temperature Setting;White Balance Correction and White Balance Bracketing,1
23,2,Canon,1317,18,Cloudy;Daylight;Sunny;Fine;Flash;Fluorescent;Shade;Tungsten;Underwater,1
41,2,Nikon,1003,24.1,Cloudy;Flash;Fluorescent;Incandescent;Shade;Sunlight;Sunny;Tungsten,1
41,1,Nikon,5759,24.7,Auto;Preset,1
41,3,Nikon,8,,Auto;Preset,1
41,4,Nikon,103,24.7,White Balance Presets;Custom White Balance;Auto;incandescent;fluorescent;direct sunlight;flash;cloudy;shade;preset manual;all except preset manual with fine-tuning,1
44,3,Nikon,31,,Auto;Preset,1
44,5,Nikon,667,24.7,Auto;Preset,1
44,2,Nikon,950,24.2,Artificial;Cloudy;Flash;Fluorescent;Incandescent;Shade;Sunlight;Sunny;Tungsten,1
44,4,Nikon,714,24.2,Auto;Incandescent;Fluorescent;Direct Sunlight;Flash;Cloudy;Shade;Preset Manual;White Balance Presets;Custom White Balance,1
44,1,Nikon,5857,24.7,Auto;Preset,1
44,6,Nikon,9649,,Incandescent;Flash;Cloudy;Preset Manual;Shade;Fluorescent;Auto;Direct Sunlight,1
48,4,Canon,172,12.1,Auto;Daylight;Cloudy;Tungsten;Fluorescent;Fluorescent H;Flash;Custom1;Custom 2;Multi-area WB Correction;White Balance Compensation,1
48,6,Canon,929,,Daylight;White Balance Compensation;Tungsten;Custom1;Auto;Fluorescent;Custom 2;Fluorescent h;Multi-Area wb Correction;Cloudy;Flash,1
48,2,Canon,665,12.1,Cloudy;Daylight;Sunny;Flash;Fluorescent;Tungsten,1
58,4,Nikon,696,10.1,White Balance Presets;Custom White Balance,1
